date,start,end,n_alert_windows,peak_z,peak_time,peak_classes,share_multiclass,sigma_ratio,event,type
2018-04-19,15:48:00,15:59:00,12,5.039725770975678,15:56:00,2,1.0,1.9897050579883269,,dispersed
2010-03-30,12:57:00,13:16:00,20,5.035450078470465,13:10:00,2,0.95,0.6291385782016917,,compressed
2015-09-16,11:40:00,11:52:00,13,5.020363912457339,11:47:00,1,0.0,0.7441973984798173,,mixed
2016-12-23,13:07:00,13:14:00,8,5.017129759094578,13:11:00,3,1.0,0.29642474720942835,,compressed
2008-11-11,10:47:00,10:58:00,12,5.016123700960052,10:49:00,3,0.5,1.194134267045071,,mixed
2017-12-20,13:54:00,13:56:00,3,5.015978695347936,13:54:00,2,0.3333333333333333,0.4568148364697305,,compressed
2015-07-10,13:00:00,13:04:00,5,5.010520537198124,13:03:00,1,0.0,0.7743866660607187,,mixed
2012-10-24,13:59:00,14:05:00,7,5.009749184213722,14:02:00,2,0.8571428571428571,0.46358743665298985,,compressed
2016-05-23,13:50:00,14:02:00,11,5.003044849627736,13:53:00,3,1.0,0.5578439659331907,,compressed
2013-07-03,11:52:00,11:59:00,5,4.996997961139264,11:55:00,1,0.2,0.9224930667103086,,mixed
2014-05-22,11:38:00,11:42:00,4,4.990791854291074,11:40:00,2,1.0,0.6540420542045904,,compressed
2014-05-29,13:35:00,13:44:00,10,4.983745226563584,13:38:00,2,0.8,0.5018310282671142,,compressed
2014-04-22,11:23:00,11:39:00,8,4.975648857518391,11:31:00,1,0.0,0.5532655629525296,,compressed
2016-08-15,14:37:00,15:17:00,36,4.972841388670535,14:44:00,2,0.5,0.4914280361290868,,compressed
2016-11-25,12:20:00,12:52:00,29,4.9694442744126865,12:33:00,3,0.3793103448275862,0.35838318793736973,,compressed
2012-09-07,12:06:00,12:27:00,22,4.9666709930055255,12:14:00,2,0.8636363636363636,0.40461002643523447,,compressed
2016-06-21,10:56:00,10:57:00,2,4.966397250538572,10:57:00,1,0.0,0.8223746389400557,,mixed
2020-07-17,15:43:00,16:00:00,17,4.966325301588438,15:49:00,3,0.29411764705882354,0.5863059665474863,,compressed
2013-08-01,12:37:00,12:41:00,5,4.9635629534774575,12:39:00,2,1.0,0.8521051908246238,,mixed
2013-07-10,14:01:00,14:07:00,7,4.961882253831001,14:03:00,2,1.0,1.8373420885586398,,dispersed
2019-10-09,15:44:00,15:54:00,11,4.945524050570993,15:44:00,2,1.0,1.635799807735734,,dispersed
2011-04-29,13:03:00,13:05:00,3,4.944241734969788,13:03:00,3,1.0,0.37948661663558064,,compressed
2019-03-13,14:46:00,14:47:00,2,4.9388475342465314,14:46:00,2,1.0,1.76882381195804,,dispersed
2011-01-12,11:56:00,11:58:00,3,4.938821331847482,11:57:00,3,1.0,0.4301280766747651,,compressed
2010-03-05,11:47:00,12:03:00,13,4.934465656131777,12:00:00,3,0.6153846153846154,0.4137321731111671,,compressed
2017-12-22,12:37:00,12:40:00,4,4.932897726759817,12:37:00,1,0.0,0.43245706915372656,,compressed
2019-10-17,15:20:00,15:26:00,7,4.922274723334978,15:23:00,3,0.14285714285714285,0.783653958563496,,mixed
2010-05-19,12:01:00,12:16:00,11,4.912900722267129,12:08:00,1,0.0,1.2599751306698501,,mixed
2019-04-11,11:40:00,11:44:00,5,4.911383341979686,11:41:00,2,1.0,2.5049489995544527,,dispersed
2014-09-12,14:28:00,14:36:00,9,4.910718416987515,14:35:00,3,0.7777777777777778,1.0661561997871511,,mixed
2013-09-17,13:36:00,13:39:00,4,4.907968072517185,13:39:00,1,0.0,0.5001777800296525,,compressed
2017-03-17,12:52:00,13:13:00,22,4.898684152171436,12:53:00,1,0.09090909090909091,0.41994130379142125,,compressed
2010-09-24,12:13:00,12:36:00,20,4.893601461233491,12:22:00,3,0.5,0.5282551603008256,,compressed
2014-03-31,13:52:00,14:02:00,8,4.8918955978344165,13:54:00,1,0.5,0.6403790694190207,,compressed
2020-02-26,13:08:00,13:11:00,4,4.888656930046806,13:08:00,3,1.0,1.5520271336815121,,dispersed
2012-07-18,12:57:00,13:01:00,5,4.885100617397863,13:00:00,1,0.0,0.3729493573972839,,compressed
2009-11-27,15:34:00,15:59:00,26,4.8839160908470785,15:48:00,2,1.0,0.9413782593308003,,mixed
2014-04-17,12:47:00,12:58:00,12,4.8783080123723055,12:47:00,1,0.0,0.6217292865077614,,compressed
2011-12-27,12:56:00,13:20:00,25,4.8764014902834605,12:56:00,3,0.6,0.26767765815658234,,compressed
2017-08-16,11:59:00,12:18:00,19,4.873705283274544,12:02:00,3,0.47368421052631576,0.43675855694025245,,compressed
2018-04-18,13:32:00,13:41:00,10,4.873528741054847,13:37:00,1,0.4,0.7210750893037609,,mixed
2020-12-23,15:59:00,16:00:00,2,4.8716248002591875,15:59:00,2,1.0,2.1573417202997534,,dispersed
2011-02-01,13:40:00,14:07:00,28,4.871613149168912,13:45:00,1,0.21428571428571427,0.43901414010270945,,compressed
2018-11-02,14:28:00,14:38:00,9,4.871527169602317,14:30:00,2,1.0,1.8287637944396644,,dispersed
2019-11-25,12:30:00,12:45:00,16,4.8705466448286066,12:34:00,2,0.6875,0.5675557537370998,,compressed
2021-04-14,13:59:00,14:09:00,7,4.86965754619346,14:05:00,2,1.0,2.3772323466200493,,dispersed
2013-09-13,14:51:00,14:56:00,6,4.864002731850602,14:54:00,3,0.3333333333333333,0.5134270784049235,,compressed
2018-08-20,13:31:00,13:51:00,21,4.854600282612631,13:51:00,1,0.0,0.30156371995324405,,compressed
2018-03-08,15:32:00,15:35:00,4,4.854437021837481,15:33:00,1,0.0,0.8686531136322094,,mixed
2010-03-31,14:41:00,14:43:00,3,4.853741320836743,14:42:00,1,0.0,0.45654801209698026,,compressed
2008-02-20,11:41:00,11:43:00,3,4.8532296423588415,11:42:00,2,0.6666666666666666,0.595890576035201,,compressed
2016-11-21,13:41:00,14:04:00,20,4.8480297635237575,13:59:00,2,0.35,0.4793989518073351,,compressed
2017-01-10,13:18:00,13:21:00,4,4.844204259930085,13:18:00,2,1.0,0.6476047966106646,,compressed
2013-04-02,12:42:00,13:07:00,22,4.84108150676045,13:03:00,3,0.18181818181818182,0.38106755378508606,,compressed
2014-05-22,14:45:00,14:59:00,15,4.834373121008869,14:53:00,2,0.6666666666666666,0.46353961106301095,,compressed
2021-01-20,12:50:00,13:00:00,11,4.8343163695396845,13:00:00,1,0.0,0.5205591053247519,,compressed
2008-11-10,11:41:00,11:44:00,4,4.832793788879267,11:43:00,1,0.0,0.7496722781629582,,mixed
2015-06-11,10:38:00,10:51:00,14,4.831741321231336,10:39:00,2,0.5,1.4472209512467868,,mixed
2012-06-15,10:36:00,10:43:00,8,4.827889560009979,10:37:00,1,0.0,0.8792133878239408,,mixed
