country,city,date,congestion,diffRatio
Saudi Arabia,Riyadh,2020-03-27,0,-1.0
Saudi Arabia,Riyadh,2020-03-28,1,-0.8888888888888888
Saudi Arabia,Riyadh,2020-03-29,3,-0.7857142857142857
Saudi Arabia,Riyadh,2020-03-30,2,-0.8666666666666667
Saudi Arabia,Riyadh,2020-03-31,2,-0.8666666666666667
Saudi Arabia,Riyadh,2020-04-01,2,-0.8666666666666667
Saudi Arabia,Riyadh,2020-04-02,2,-0.8888888888888888
Saudi Arabia,Riyadh,2020-04-03,0,-1.0
Saudi Arabia,Riyadh,2020-04-04,1,-0.8888888888888888
Saudi Arabia,Riyadh,2020-04-05,3,-0.7857142857142857
Saudi Arabia,Riyadh,2020-04-06,4,-0.7333333333333333
Saudi Arabia,Riyadh,2020-04-07,4,-0.7333333333333333
Saudi Arabia,Riyadh,2020-04-08,5,-0.6666666666666666
Saudi Arabia,Riyadh,2020-04-09,4,-0.7777777777777778
Saudi Arabia,Riyadh,2020-04-10,2,-0.8
Saudi Arabia,Riyadh,2020-04-11,5,-0.4444444444444444
Saudi Arabia,Riyadh,2020-04-12,11,-0.2142857142857142
Saudi Arabia,Riyadh,2020-04-13,8,-0.4666666666666667
Saudi Arabia,Riyadh,2020-04-14,7,-0.5333333333333333
Saudi Arabia,Riyadh,2020-04-15,7,-0.5333333333333333
Saudi Arabia,Riyadh,2020-04-16,7,-0.6111111111111112
Saudi Arabia,Riyadh,2020-04-17,3,-0.7
Saudi Arabia,Riyadh,2020-04-18,5,-0.4444444444444444
Saudi Arabia,Riyadh,2020-04-19,7,-0.5
Saudi Arabia,Riyadh,2020-04-20,8,-0.4666666666666667
Saudi Arabia,Riyadh,2020-04-21,6,-0.6
Saudi Arabia,Riyadh,2020-04-22,4,-0.7333333333333333
Saudi Arabia,Riyadh,2020-04-23,5,-0.7222222222222222
Saudi Arabia,Riyadh,2020-04-24,1,-0.9
Saudi Arabia,Riyadh,2020-04-25,2,-0.7777777777777778
Saudi Arabia,Riyadh,2020-04-26,1,-0.9285714285714286
Saudi Arabia,Riyadh,2020-04-27,1,-0.9333333333333332
Saudi Arabia,Riyadh,2020-04-28,1,-0.9333333333333332
Saudi Arabia,Riyadh,2020-04-29,2,-0.8666666666666667
Saudi Arabia,Riyadh,2020-04-30,2,-0.8888888888888888
Saudi Arabia,Riyadh,2020-05-01,0,-1.0
Saudi Arabia,Riyadh,2020-05-02,0,-1.0
Saudi Arabia,Riyadh,2020-05-03,2,-0.8571428571428571
Saudi Arabia,Riyadh,2020-05-04,2,-0.8666666666666667
Saudi Arabia,Riyadh,2020-05-05,1,-0.9333333333333332
Saudi Arabia,Riyadh,2020-05-06,1,-0.9333333333333332
Saudi Arabia,Riyadh,2020-05-07,1,-0.9444444444444444
Saudi Arabia,Riyadh,2020-05-08,0,-1.0
Saudi Arabia,Riyadh,2020-05-09,0,-1.0
Saudi Arabia,Riyadh,2020-05-10,2,-0.8571428571428571
Saudi Arabia,Riyadh,2020-05-11,3,-0.8
Saudi Arabia,Riyadh,2020-05-12,4,-0.7333333333333333
Saudi Arabia,Riyadh,2020-05-13,1,-0.9333333333333332
Saudi Arabia,Riyadh,2020-05-14,1,-0.9444444444444444
Saudi Arabia,Riyadh,2020-05-15,0,-1.0
Saudi Arabia,Riyadh,2020-05-16,0,-1.0
Saudi Arabia,Riyadh,2020-05-17,1,-0.9285714285714286
Saudi Arabia,Riyadh,2020-05-18,1,-0.9333333333333332
Saudi Arabia,Riyadh,2020-05-19,1,-0.9333333333333332
Saudi Arabia,Riyadh,2020-05-20,2,-0.8666666666666667
Saudi Arabia,Riyadh,2020-05-21,3,-0.8333333333333334
Saudi Arabia,Riyadh,2020-05-22,3,-0.7
Saudi Arabia,Riyadh,2020-05-23,0,-1.0
Saudi Arabia,Riyadh,2020-05-24,0,-1.0
Saudi Arabia,Riyadh,2020-05-25,0,-1.0
Saudi Arabia,Riyadh,2020-05-26,0,-1.0
Saudi Arabia,Riyadh,2020-05-27,0,-1.0
Saudi Arabia,Riyadh,2020-05-28,0,-1.0
Saudi Arabia,Riyadh,2020-05-29,0,-1.0
Saudi Arabia,Riyadh,2020-05-30,0,-1.0
Saudi Arabia,Riyadh,2020-05-31,2,-0.8571428571428571
Saudi Arabia,Riyadh,2020-06-01,2,-0.8666666666666667
Saudi Arabia,Riyadh,2020-06-02,2,-0.8666666666666667
Saudi Arabia,Riyadh,2020-06-03,2,-0.8666666666666667
Saudi Arabia,Riyadh,2020-06-04,2,-0.8888888888888888
Saudi Arabia,Riyadh,2020-06-05,1,-0.9
Saudi Arabia,Riyadh,2020-06-06,1,-0.8888888888888888
Saudi Arabia,Riyadh,2020-06-07,2,-0.8571428571428571
Saudi Arabia,Riyadh,2020-06-08,1,-0.9333333333333332
Saudi Arabia,Riyadh,2020-06-09,2,-0.8666666666666667
Saudi Arabia,Riyadh,2020-06-10,2,-0.8666666666666667
Saudi Arabia,Riyadh,2020-06-12,1,-0.9
Saudi Arabia,Riyadh,2020-06-13,2,-0.7777777777777778
Saudi Arabia,Riyadh,2020-06-14,2,-0.8571428571428571
Saudi Arabia,Riyadh,2020-06-15,2,-0.8666666666666667
Saudi Arabia,Riyadh,2020-06-16,2,-0.8666666666666667
Saudi Arabia,Riyadh,2020-06-17,2,-0.8666666666666667
Saudi Arabia,Riyadh,2020-06-18,2,-0.8888888888888888
Saudi Arabia,Riyadh,2020-06-19,1,-0.9
Saudi Arabia,Riyadh,2020-06-20,2,-0.7777777777777778
Saudi Arabia,Riyadh,2020-06-21,2,-0.8571428571428571
Saudi Arabia,Riyadh,2020-06-22,2,-0.8666666666666667
Saudi Arabia,Riyadh,2020-06-23,2,-0.8666666666666667
Saudi Arabia,Riyadh,2020-06-24,2,-0.8666666666666667
Saudi Arabia,Riyadh,2020-06-25,3,-0.8333333333333334
Saudi Arabia,Riyadh,2020-06-26,2,-0.8
Saudi Arabia,Riyadh,2020-06-27,3,-0.6666666666666666
Saudi Arabia,Riyadh,2020-06-28,4,-0.7142857142857143
Saudi Arabia,Riyadh,2020-06-29,5,-0.6666666666666666
Saudi Arabia,Riyadh,2020-06-30,6,-0.6
Saudi Arabia,Riyadh,2020-07-01,3,-0.8
Saudi Arabia,Riyadh,2020-07-02,3,-0.8333333333333334
Saudi Arabia,Riyadh,2020-07-03,2,-0.8
Saudi Arabia,Riyadh,2020-07-04,3,-0.6666666666666666
Saudi Arabia,Riyadh,2020-07-05,3,-0.7857142857142857
Saudi Arabia,Riyadh,2020-07-06,3,-0.8
Saudi Arabia,Riyadh,2020-07-07,3,-0.8
Saudi Arabia,Riyadh,2020-07-08,3,-0.8
Saudi Arabia,Riyadh,2020-07-09,4,-0.7777777777777778
Saudi Arabia,Riyadh,2020-07-10,3,-0.7
Saudi Arabia,Riyadh,2020-07-11,3,-0.6666666666666666
Saudi Arabia,Riyadh,2020-07-12,3,-0.7857142857142857
Saudi Arabia,Riyadh,2020-07-13,3,-0.8
Saudi Arabia,Riyadh,2020-07-14,3,-0.8
Saudi Arabia,Riyadh,2020-07-15,3,-0.8
Saudi Arabia,Riyadh,2020-07-16,4,-0.7777777777777778
Saudi Arabia,Riyadh,2020-07-17,4,-0.6
Saudi Arabia,Riyadh,2020-07-18,3,-0.6666666666666666
Saudi Arabia,Riyadh,2020-07-19,3,-0.7857142857142857
Saudi Arabia,Riyadh,2020-07-20,3,-0.8
Saudi Arabia,Riyadh,2020-07-21,4,-0.7333333333333333
Saudi Arabia,Riyadh,2020-07-22,3,-0.8
Saudi Arabia,Riyadh,2020-07-23,6,-0.6666666666666666
Saudi Arabia,Riyadh,2020-07-24,3,-0.7
Saudi Arabia,Riyadh,2020-07-25,4,-0.5555555555555556
Saudi Arabia,Riyadh,2020-07-26,4,-0.7142857142857143
Saudi Arabia,Riyadh,2020-07-27,7,-0.5333333333333333
Saudi Arabia,Riyadh,2020-07-28,7,-0.5333333333333333
Saudi Arabia,Riyadh,2020-07-29,8,-0.4666666666666667
Saudi Arabia,Riyadh,2020-07-30,4,-0.7777777777777778
Saudi Arabia,Riyadh,2020-07-31,0,-1.0
Saudi Arabia,Riyadh,2020-08-01,1,-0.8888888888888888
Saudi Arabia,Riyadh,2020-08-02,1,-0.9285714285714286
Saudi Arabia,Riyadh,2020-08-03,1,-0.9333333333333332
Saudi Arabia,Riyadh,2020-08-04,1,-0.9333333333333332
Saudi Arabia,Riyadh,2020-08-05,1,-0.9333333333333332
Saudi Arabia,Riyadh,2020-08-06,3,-0.8333333333333334
Saudi Arabia,Riyadh,2020-08-07,2,-0.8
Saudi Arabia,Riyadh,2020-08-08,3,-0.6666666666666666
Saudi Arabia,Riyadh,2020-08-09,3,-0.7857142857142857
Saudi Arabia,Riyadh,2020-08-10,4,-0.7333333333333333
Saudi Arabia,Riyadh,2020-08-11,4,-0.7333333333333333
Saudi Arabia,Riyadh,2020-08-12,5,-0.6666666666666666
Saudi Arabia,Riyadh,2020-08-13,6,-0.6666666666666666
Saudi Arabia,Riyadh,2020-08-14,4,-0.6
Saudi Arabia,Riyadh,2020-08-15,3,-0.6666666666666666
Saudi Arabia,Riyadh,2020-08-16,5,-0.6428571428571429
Saudi Arabia,Riyadh,2020-08-17,5,-0.6666666666666666
Saudi Arabia,Riyadh,2020-08-18,4,-0.7333333333333333
Saudi Arabia,Riyadh,2020-08-19,4,-0.7333333333333333
Saudi Arabia,Riyadh,2020-08-20,5,-0.7222222222222222
Saudi Arabia,Riyadh,2020-08-21,5,-0.5
Saudi Arabia,Riyadh,2020-08-22,5,-0.4444444444444444
Saudi Arabia,Riyadh,2020-08-23,5,-0.6428571428571429
Saudi Arabia,Riyadh,2020-08-24,5,-0.6666666666666666
Saudi Arabia,Riyadh,2020-08-25,5,-0.6666666666666666
Saudi Arabia,Riyadh,2020-08-26,6,-0.6
Saudi Arabia,Riyadh,2020-08-27,10,-0.4444444444444444
Saudi Arabia,Riyadh,2020-08-28,6,-0.4
Saudi Arabia,Riyadh,2020-08-29,4,-0.5555555555555556
Saudi Arabia,Riyadh,2020-08-30,6,-0.5714285714285714
Saudi Arabia,Riyadh,2020-08-31,7,-0.5333333333333333
Saudi Arabia,Riyadh,2020-09-01,8,-0.4666666666666667
Saudi Arabia,Riyadh,2020-09-02,7,-0.5333333333333333
Saudi Arabia,Riyadh,2020-09-03,9,-0.5
Saudi Arabia,Riyadh,2020-09-04,5,-0.5
Saudi Arabia,Riyadh,2020-09-05,7,-0.2222222222222222
Saudi Arabia,Riyadh,2020-09-06,6,-0.5714285714285714
Saudi Arabia,Riyadh,2020-09-07,6,-0.6
Saudi Arabia,Riyadh,2020-09-08,6,-0.6
Saudi Arabia,Riyadh,2020-09-09,5,-0.6666666666666666
Saudi Arabia,Riyadh,2020-09-10,9,-0.5
Saudi Arabia,Riyadh,2020-09-11,6,-0.4
Saudi Arabia,Riyadh,2020-09-12,6,-0.3333333333333333
Saudi Arabia,Riyadh,2020-09-13,6,-0.5714285714285714
Saudi Arabia,Riyadh,2020-09-14,5,-0.6666666666666666
Saudi Arabia,Riyadh,2020-09-15,5,-0.6666666666666666
Saudi Arabia,Riyadh,2020-09-16,6,-0.6
Saudi Arabia,Riyadh,2020-09-17,8,-0.5555555555555556
Saudi Arabia,Riyadh,2020-09-18,5,-0.5
Saudi Arabia,Riyadh,2020-09-19,6,-0.3333333333333333
Saudi Arabia,Riyadh,2020-09-20,5,-0.6428571428571429
Saudi Arabia,Riyadh,2020-09-21,5,-0.6666666666666666
Saudi Arabia,Riyadh,2020-09-22,11,-0.2666666666666666
Saudi Arabia,Riyadh,2020-09-23,15,0.0
Saudi Arabia,Riyadh,2020-09-24,10,-0.4444444444444444
Saudi Arabia,Riyadh,2020-09-25,6,-0.4
Saudi Arabia,Riyadh,2020-09-26,5,-0.4444444444444444
Saudi Arabia,Riyadh,2020-09-27,7,-0.5
Saudi Arabia,Riyadh,2020-09-28,8,-0.4666666666666667
Saudi Arabia,Riyadh,2020-09-29,8,-0.4666666666666667
Saudi Arabia,Riyadh,2020-09-30,7,-0.5333333333333333
Saudi Arabia,Riyadh,2020-10-01,11,-0.3888888888888889
Saudi Arabia,Riyadh,2020-10-02,7,-0.3
Saudi Arabia,Riyadh,2020-10-03,6,-0.3333333333333333
Saudi Arabia,Riyadh,2020-10-04,7,-0.5
Saudi Arabia,Riyadh,2020-10-05,7,-0.5333333333333333
Saudi Arabia,Riyadh,2020-10-06,6,-0.6
Saudi Arabia,Riyadh,2020-10-07,7,-0.5333333333333333
Saudi Arabia,Riyadh,2020-10-08,9,-0.5
Saudi Arabia,Riyadh,2020-10-09,6,-0.4
Saudi Arabia,Riyadh,2020-10-10,6,-0.3333333333333333
