datetime,close
1962-06-01,563.9
1962-07-01,575.58
1962-08-01,591.24
1962-09-01,584.06
1962-10-01,565.63
1962-11-01,604.6
1962-12-01,630.78
1963-01-01,655.15
1963-02-01,663.81
1963-03-01,659.13
1963-04-01,690.14
1963-05-01,703.99
1963-06-01,701.39
1963-07-01,688.74
1963-08-01,707.78
1963-09-01,726.43
1963-10-01,725.86
1963-11-01,721.79
1963-12-01,734.81
1964-01-01,757.39
1964-02-01,766.71
1964-03-01,780.67
1964-04-01,791.97
1964-05-01,799.7
1964-06-01,792.38
1964-07-01,819.16
1964-08-01,809.76
1964-09-01,821.03
1964-10-01,835.21
1964-11-01,838.32
1964-12-01,823.8
1965-01-01,844.99
1965-02-01,851.17
1965-03-01,849.23
1965-04-01,857.64
1965-05-01,870.42
1965-06-01,823.83
1965-07-01,822.57
1965-08-01,837.88
1965-09-01,865.88
1965-10-01,882.55
1965-11-01,889.89
1965-12-01,883.05
1966-01-01,898.36
1966-02-01,886.72
1966-03-01,847.62
1966-04-01,868.15
1966-05-01,822.47
1966-06-01,813.13
1966-07-01,808.55
1966-08-01,755.02
1966-09-01,728.43
1966-10-01,717.68
1966-11-01,753.59
1966-12-01,756.76
1967-01-01,785.79
1967-02-01,812.87
1967-03-01,829.51
1967-04-01,841.25
1967-05-01,853.75
1967-06-01,840.52
1967-07-01,852.48
1967-08-01,863.46
1967-09-01,872.92
1967-10-01,868.97
1967-11-01,839.22
1967-12-01,860.59
1968-01-01,853.21
1968-02-01,812.31
1968-03-01,795.13
1968-04-01,851.37
1968-05-01,868.43
1968-06-01,886.62
1968-07-01,879.79
1968-08-01,858.12
1968-09-01,883.5
1968-10-01,900.17
1968-11-01,911.46
1968-12-01,918.38
1969-01-01,877.11
1969-02-01,867.93
1969-03-01,842.06
1969-04-01,854.29
1969-05-01,879.7
1969-06-01,829.22
1969-07-01,787.86
1969-08-01,779.22
1969-09-01,779.84
1969-10-01,783.95
1969-11-01,785.4
1969-12-01,739.82
1970-01-01,731.39
1970-02-01,702.16
1970-03-01,710.42
1970-04-01,683.42
1970-05-01,603.21
1970-06-01,596.4
1970-07-01,594.36
1970-08-01,611.63
1970-09-01,644.9
1970-10-01,655.53
1970-11-01,651.53
1970-12-01,692.63
1971-01-01,719.09
1971-02-01,745.06
1971-03-01,762.26
1971-04-01,786.31
1971-05-01,771.78
1971-06-01,751.9
1971-07-01,744.63
1971-08-01,729.6
1971-09-01,745.81
1971-10-01,728.19
1971-11-01,694.44
1971-12-01,738.65
1972-01-01,769.42
1972-02-01,779.77
1972-03-01,796.38
1972-04-01,802.57
