Date,Close,Open,High,Low,Volume,Change %
2020-01-01,8358.85,8389.23,8389.86,8354.95,146530000.0,-0.36
2020-01-02,8397.01,8358.85,8397.01,8368.21,147580000.0,0.46
2020-01-05,8193.72,8397.01,8305.33,8189.95,175920000.0,-2.42
2020-01-06,8206.13,8193.72,8210.81,8123.91,157830000.0,0.15
2020-01-07,8198.97,8206.13,8269.31,8181.94,143520000.0,-0.09
2020-01-08,8124.11,8198.97,8169.16,8076.79,160900000.0,-0.91
2020-01-09,8345.77,8124.11,8345.77,8226.28,183500000.0,2.73
2020-01-12,8371.13,8345.77,8406.23,8358.88,168530000.0,0.3
2020-01-13,8441.14,8371.13,8455.24,8370.12,189620000.0,0.84
2020-01-14,8474.81,8441.14,8479.35,8419.82,206940000.0,0.4
2020-01-15,8432.56,8474.81,8480.85,8432.56,217030000.0,-0.5
2020-01-16,8459.8,8432.56,8459.8,8423.46,168720000.0,0.32
2020-01-19,8449.29,8459.8,8490.38,8441.55,158060000.0,-0.12
2020-01-20,8469.71,8449.29,8473.5,8437.69,174430000.0,0.24
2020-01-21,8445.33,8469.71,8465.72,8431.01,174820000.0,-0.29
2020-01-22,8428.21,8445.33,8470.57,8428.21,170020000.0,-0.2
2020-01-23,8386.35,8428.21,8412.6,8356.32,181020000.0,-0.5
2020-01-26,8326.97,8386.35,8360.52,8319.22,175170000.0,-0.71
2020-01-27,8178.47,8326.97,8335.2,8178.47,174690000.0,-1.78
2020-01-28,8166.08,8178.47,8206.14,8153.03,133750000.0,-0.15
2020-01-29,8185.51,8166.08,8216.66,8156.42,143040000.0,0.24
2020-01-30,8246.59,8185.51,8255.41,8166.76,145690000.0,0.75
2020-02-02,8157.51,8246.59,8187.98,8138.62,157670000.0,-1.08
2020-02-03,8112.69,8157.51,8194.73,8112.69,151230000.0,-0.55
2020-02-04,8138.4,8112.69,8149.08,8120.95,148540000.0,0.32
2020-02-05,8094.36,8138.4,8179.31,8084.91,153270000.0,-0.54
2020-02-06,8053.09,8094.36,8123.87,8036.52,171720000.0,-0.51
2020-02-09,7952.52,8053.09,8085.39,7890.09,152180000.0,-1.25
2020-02-10,7971.93,7952.52,7979.68,7919.58,120650000.0,0.24
2020-02-11,7895.64,7971.93,7956.38,7895.64,136600000.0,-0.96
2020-02-12,7915.36,7895.64,7923.06,7876.81,148130000.0,0.25
2020-02-13,7874.41,7915.36,7937.53,7839.47,188560000.0,-0.52
2020-02-16,7836.96,7874.41,7886.89,7819.31,121360000.0,-0.48
2020-02-17,7872.55,7836.96,7895.61,7843.56,99230000.0,0.45
2020-02-18,7858.93,7872.55,7877.64,7845.24,96870000.0,-0.17
2020-02-19,7967.6,7858.93,7967.6,7862.47,111910000.0,1.38
2020-02-20,8007.39,7967.6,8031.02,7975.18,147730000.0,0.5
2020-02-23,7982.95,8007.39,8015.03,7953.81,122260000.0,-0.31
2020-02-24,7747.1,7982.95,7965.56,7745.51,181570000.0,-2.95
2020-02-25,7758.15,7747.1,7776.3,7687.54,143730000.0,0.14
2020-02-26,7711.12,7758.15,7729.36,7655.84,157350000.0,-0.61
2020-02-27,7628.34,7711.12,7678.51,7561.5,179730000.0,-1.07
2020-03-01,7345.1,7628.34,7461.16,7314.88,184110000.0,-3.71
2020-03-02,7349.19,7345.1,7561.9,7349.19,198260000.0,0.06
2020-03-03,7556.52,7349.19,7561.31,7475.49,171030000.0,2.82
2020-03-04,7524.5,7556.52,7531.43,7416.59,174560000.0,-0.42
2020-03-05,7467.52,7524.5,7571.19,7457.62,145770000.0,-0.76
2020-03-08,6846.36,7467.52,7027.98,6835.33,295730000.0,-8.32
