Price,Close,High,Low,Open,Volume
Ticker,AA,AA,AA,AA,AA
Date,,,,,
2025-07-11,30.800893783569336,31.0733361765993,30.335265000747434,30.979220263257947,4425100
2025-07-14,29.512985229492188,30.454150094595384,28.948284042895516,30.21638206900261,7747200
2025-07-15,28.22507095336914,29.849819970855442,28.175536659757846,29.721029673698773,7001700
2025-07-16,28.29442024230957,28.64116597282271,27.858513159573484,28.363769010489754,9338400
2025-07-17,29.11669921875,30.10740013142186,28.670884941814883,28.849211408433742,11921200
2025-07-18,30.047962188720703,30.394707927424783,29.017634099282233,29.503077377623043,7421100
2025-07-21,30.691917419433594,31.524106434814,30.632475886795635,31.216989644970262,7500600
2025-07-22,31.633081436157227,31.677663054210292,30.855381346485352,30.999033436835465,5801400
2025-07-23,31.80150032043457,32.02837093822494,31.335871534617123,31.950106980872558,4947700
2025-07-24,31.56373405456543,31.940201487856786,30.939591374492142,31.365593101295016,6445100
2025-07-25,30.553218841552734,31.405222302056455,30.097495401186027,31.207081347181855,6912200
2025-07-28,30.39470672607422,31.028754756052535,29.889448993580682,30.513589786889064,5907400
2025-07-29,30.156938552856445,30.54331133284771,29.810192829719895,30.216380082944603,4734000
2025-07-30,29.839916229248047,30.19656731958443,29.44363430058852,30.0776842526764,6061300
2025-07-31,29.691307067871094,30.399658404889713,29.3841902996011,29.592238483637765,5337700
2025-08-01,28.135906219482422,29.017631337928858,27.848603930487485,28.92846810247234,6930400
2025-08-04,28.849214553833008,29.017633802934277,28.234979089577724,28.56191035081992,5493500
2025-08-05,29.34456443786621,29.453540262879546,28.566862414782445,29.225679486491792,3578800
2025-08-06,29.27521324157715,30.333282675684462,29.20586447522408,30.15693839987063,4903000
2025-08-07,29.820100784301758,29.899356789531566,28.750143768893235,29.790379073736,4252900
2025-08-08,29.889448165893555,30.58293959668757,29.64177292484028,29.919169875080314,4868100
2025-08-11,29.057260513305664,30.231240679674006,28.968097271342273,29.96870551701081,8075700
2025-08-12,31.19455337524414,31.313845047795255,29.43501495167212,29.55430472814642,7308700
2025-08-13,31.5424861907959,31.56634452592991,31.04544101831159,31.462959039041483,4157000
2025-08-14,31.14484977722168,31.254200319613794,30.349578276397644,30.896327196204567,4725700
2025-08-15,31.085206985473633,31.3536118461353,30.77703759905011,31.2044967706053,5523000
2025-08-18,29.45489501953125,30.76212430668498,29.21631357291557,30.588159261051715,7364600
2025-08-19,29.67359733581543,29.97182368247614,29.401216412977135,29.57418792156957,3961300
2025-08-20,29.15667152404785,29.546355160283746,28.96878925647123,29.28590244251813,3463900
2025-08-21,29.335607528686523,29.435016946536805,28.74909404905449,28.868385729690218,3101600
2025-08-22,31.492782592773438,31.969945505736217,29.315724195275056,29.39525134743552,8535400
2025-08-25,31.612071990966797,31.90035909911278,31.31682817686867,31.363549406458954,3896700
2025-08-26,31.761186599731445,32.187652198028886,31.313845195648593,31.413254607231096,3652000
2025-08-27,31.612071990966797,31.72042899062694,30.826741609881974,31.244259627698224,3698000
2025-08-28,31.73136329650879,32.158820544182895,31.174673244591602,31.880476466262717,3678400
2025-08-29,31.999767303466797,32.2781151827595,31.61207267005078,31.711482085204775,4180500
2025-09-02,30.757156372070312,30.995737831738257,30.031468965827138,30.916210678515608,8241200
2025-09-03,30.926151275634766,31.259170631479886,30.101056364168976,30.429106102557135,6133600
2025-09-04,31.10508918762207,31.124969554387235,30.39928402534283,30.677630016901496,5865500
2025-09-05,31.641897201538086,31.880478668843015,30.80686111793235,31.542487782808458,5686300
2025-09-08,31.85065460205078,31.955033630065167,30.6527739522671,31.82082931393695,6672000
2025-09-09,31.085206985473633,32.71551462017067,31.070294340274465,31.999768325072893,6652800
2025-09-10,30.74721336364746,31.91029719748818,30.57821793635768,31.11502571381672,6482500
2025-09-11,32.099178314208984,32.16379282178886,30.528513740848354,30.82674198351856,6107200
2025-09-12,33.04356384277344,33.25232189946124,32.178702535660605,32.178702535660605,8313400
2025-09-15,33.401432037353516,33.94818472746971,33.20261701420598,33.381553568761554,5656800
2025-09-16,33.28214645385742,34.047596524204586,32.91930557800862,33.659901871257546,5921600
2025-09-17,32.665809631347656,33.93824407067318,32.536576823555606,32.804981674129664,6699200
2025-09-18,32.526634216308594,33.101217501432124,32.45207668907562,33.05350083568915,4318800
2025-09-19,32.26817321777344,32.795043704256386,32.08923664382133,32.57634260450294,6383100
2025-09-22,32.437171936035156,32.447111171831295,31.602135819459175,31.810893900564654,4758300
2025-09-23,31.343669891357422,32.775160547873554,30.846624708852353,32.476930404647476,7983300
2025-09-24,31.045440673828125,31.84071218254786,30.921179382085864,31.572309233402976,7167700
2025-09-25,31.264141082763672,31.656805315135177,30.627921993508615,31.025557739245027,5327500
2025-09-26,32.516693115234375,32.63598668273085,31.264140993750082,31.363548507843557,6488900
2025-09-29,33.64995574951172,33.719541768403715,32.76521597318179,33.38155470073037,7467900
2025-09-30,32.69563293457031,33.26723567798913,31.791010814362384,33.26723567798913,8584200
2025-10-01,33.64995574951172,34.1271224392763,32.660836944843794,32.80498049602111,5804300
2025-10-02,34.624168395996094,34.83789417883571,33.7692500960228,33.86865761325768,8145900
2025-10-03,34.29611587524414,35.04168361166249,34.147000811099026,34.932333070243224,5786900
2025-10-06,33.59031677246094,35.28027127359624,33.57043450866475,34.74346152756137,5365900
2025-10-07,35.32002639770508,35.653049523190916,33.81895174503382,33.898476995430244,11291400
2025-10-08,36.84098815917969,37.35791557411082,36.17494568127,36.26441396062642,10564600
2025-10-09,36.781341552734375,37.864900144757826,36.56264047055329,37.854960910183046,9033000
2025-10-10,34.813045501708984,37.12927411113381,34.803102474320234,36.840990783475455,7317600
2025-10-13,36.03577423095703,36.68193445816668,35.39955703058954,36.194828531048906,6299500
2025-10-14,35.538734436035156,36.199805511186106,34.92239940412248,35.23056502400171,5867100
2025-10-15,36.244529724121094,36.44334853320584,35.40452603877192,36.08547543528397,5311000
2025-10-16,36.91057586669922,37.67602589352632,36.334001641756565,36.6322279892097,5978000
2025-10-17,35.75743103027344,36.54176597886172,35.429379395206766,36.363826749284875,4397900
2025-10-20,38.729759216308594,39.047867825679006,36.125243555030664,36.29423709469143,10907900
2025-10-21,37.009979248046875,37.775429189309705,35.85683471921724,37.73566466951995,8781500
