date,start,end,n_alert_windows,peak_z,peak_time,peak_classes,share_multiclass,sigma_ratio,event,type
2021-04-21,14:56:00,14:56:00,1,3.1150089513026606,14:56:00,1,0.0,0.6625779589411044,,compressed
2008-09-03,14:19:00,14:19:00,1,3.1147932872339728,14:19:00,2,1.0,1.3571242962127668,,mixed
2017-09-08,14:51:00,14:51:00,1,3.1138262541703843,14:51:00,1,0.0,0.7658055109260203,,mixed
2015-08-24,15:40:00,15:41:00,2,3.111482344452753,15:40:00,1,0.0,3.438215494629203,ETF FLASH CRASH at the open,dispersed
2019-05-08,11:01:00,11:10:00,6,3.1107426371111435,11:07:00,2,1.0,2.4703261557537934,,dispersed
2018-12-13,14:28:00,14:28:00,1,3.1104482520610666,14:28:00,2,1.0,0.7908734491018249,,mixed
2020-11-27,12:20:00,12:21:00,2,3.1102626413590237,12:20:00,2,1.0,0.8289816073586144,,mixed
2021-04-12,13:44:00,13:44:00,1,3.109857010727952,13:44:00,2,1.0,0.8318310624427864,,mixed
2016-12-21,15:02:00,15:05:00,4,3.1097756207159812,15:02:00,2,1.0,0.481497908445139,,compressed
2012-10-17,14:03:00,14:05:00,3,3.108799101914403,14:03:00,2,1.0,0.7914942811194662,,mixed
2016-06-06,14:26:00,14:26:00,1,3.108530071172875,14:26:00,2,1.0,0.7380285885648991,,mixed
2020-07-17,13:23:00,13:23:00,1,3.1070200709213593,13:23:00,1,0.0,0.532260895321237,,compressed
2014-02-19,14:21:00,14:22:00,2,3.1068558274761693,14:21:00,2,1.0,1.9453266602316326,,dispersed
2010-03-17,13:28:00,13:32:00,4,3.1052349310830976,13:29:00,1,0.0,0.6752598581129141,,mixed
2018-12-18,12:19:00,12:21:00,3,3.1043439786461873,12:19:00,2,1.0,0.9560925064578275,,mixed
2018-08-08,15:46:00,15:50:00,4,3.1037701802331674,15:47:00,1,0.0,0.8181139834254878,,mixed
2013-08-09,13:57:00,13:59:00,3,3.1035581328202957,13:58:00,3,1.0,1.0646111459964724,,mixed
2017-12-22,13:25:00,13:29:00,5,3.102998536053378,13:26:00,1,0.0,0.4375251593553769,,compressed
2008-08-25,12:22:00,12:24:00,3,3.1021855049927245,12:22:00,2,1.0,1.1585036247650322,,mixed
2010-04-27,11:29:00,11:29:00,1,3.1020685169271425,11:29:00,2,1.0,2.143317716013903,Greece/Portugal downgrades,dispersed
2020-09-09,11:52:00,11:52:00,1,3.1014721656472255,11:52:00,2,1.0,0.7164020316743699,,mixed
2009-05-15,14:54:00,14:54:00,1,3.100964424389535,14:54:00,1,0.0,0.9888919262623341,,mixed
2019-09-17,13:39:00,13:40:00,2,3.10078953341747,13:40:00,1,0.0,0.5343035402442701,,compressed
2009-03-17,12:10:00,12:13:00,3,3.1002984443026027,12:13:00,1,0.0,0.8753525791228106,,mixed
2009-12-16,14:08:00,14:13:00,5,3.099482294662173,14:10:00,1,0.0,0.5742680710275494,,compressed
2020-10-21,13:03:00,13:03:00,1,3.098771542482473,13:03:00,2,1.0,1.586606658684925,,dispersed
2014-11-20,15:40:00,15:41:00,2,3.0985154435675737,15:40:00,1,0.0,0.813482427038932,,mixed
2010-07-21,14:43:00,14:43:00,1,3.098338614199785,14:43:00,2,1.0,1.5450790922848525,,dispersed
2019-04-23,14:19:00,14:19:00,1,3.0982300648406964,14:19:00,1,0.0,0.6368814915874814,,compressed
2011-05-18,14:06:00,14:11:00,2,3.09657886953016,14:11:00,2,1.0,0.8287635070494366,,mixed
2015-07-07,15:14:00,15:16:00,3,3.0965337088315876,15:14:00,2,1.0,1.432553527012034,,mixed
2017-12-08,12:17:00,12:18:00,2,3.0955981817262987,12:18:00,2,1.0,0.7454745038316432,,mixed
2016-03-14,15:59:00,15:59:00,1,3.0952738813650402,15:59:00,2,1.0,0.9806523952392645,,mixed
2016-11-25,11:49:00,11:51:00,3,3.0944456211968134,11:49:00,1,0.0,0.5989752337707024,,compressed
2020-01-13,12:42:00,12:42:00,1,3.0943662452469667,12:42:00,2,1.0,0.8764818282274897,,mixed
2020-09-17,11:26:00,11:27:00,2,3.0943647849526115,11:26:00,1,0.0,1.7132684833450071,,dispersed
2018-12-18,13:20:00,13:20:00,1,3.0938482086529464,13:20:00,2,1.0,0.8898976862341567,,mixed
2011-07-21,12:50:00,12:51:00,2,3.0927772240089175,12:50:00,2,1.0,1.4892084971854578,,mixed
2014-05-23,14:48:00,14:48:00,1,3.092179223561526,14:48:00,2,1.0,0.5661080362250942,,compressed
2011-03-11,13:50:00,13:51:00,2,3.0915275564890474,13:50:00,1,0.0,0.5899110206004038,,compressed
2016-09-09,13:11:00,13:11:00,1,3.0913015770534327,13:11:00,1,0.0,1.3560050459930484,,mixed
2019-04-23,13:36:00,13:37:00,2,3.0912260135715672,13:37:00,1,0.0,0.7873913507911063,,mixed
2018-04-27,15:02:00,15:02:00,1,3.0905442314323013,15:02:00,2,1.0,0.6074111760730475,,compressed
2008-05-09,14:15:00,14:17:00,3,3.090181124640123,14:15:00,1,0.0,0.8032177124366193,,mixed
2012-11-06,12:56:00,12:56:00,1,3.088398177428327,12:56:00,2,1.0,1.257223344295869,,mixed
2011-03-08,14:37:00,14:42:00,4,3.0873567238135906,14:37:00,2,0.5,0.6468341864459404,,compressed
2009-05-15,13:00:00,13:00:00,1,3.087069128133118,13:00:00,1,0.0,0.813949088604214,,mixed
2013-12-10,12:34:00,12:35:00,2,3.085959740682643,12:34:00,1,0.0,0.9170937176215405,,mixed
2017-09-22,15:59:00,15:59:00,1,3.0830716844660024,15:59:00,2,1.0,0.9817700535124473,,mixed
2021-01-12,11:18:00,11:18:00,1,3.082749647390249,11:18:00,3,1.0,1.2687605483820044,,mixed
2012-04-24,14:01:00,14:01:00,1,3.0812521931833543,14:01:00,2,1.0,0.8251504430736636,,mixed
2021-01-05,12:03:00,12:03:00,1,3.0791310246391363,12:03:00,2,1.0,1.9453469881644294,,dispersed
2016-06-06,14:17:00,14:20:00,2,3.0774803173276823,14:20:00,2,1.0,0.8242241455667395,,mixed
2020-08-19,13:12:00,13:12:00,1,3.0769750434488095,13:12:00,1,0.0,0.561672448760219,,compressed
2020-07-22,11:38:00,11:38:00,1,3.0760719734014135,11:38:00,1,0.0,1.1152964552704505,,mixed
2013-06-27,12:42:00,12:49:00,4,3.0756662366857466,12:49:00,1,0.0,0.5438570809581795,,compressed
2018-10-22,14:40:00,14:40:00,1,3.0754180685654227,14:40:00,1,0.0,0.7758142659642899,,mixed
2008-10-22,11:20:00,11:20:00,1,3.0735776135830277,11:20:00,1,0.0,1.1343771087778711,,mixed
2010-04-12,11:51:00,11:52:00,2,3.0729364317584658,11:52:00,2,1.0,1.1328676319806132,,mixed
2020-05-18,11:21:00,11:22:00,2,3.0729134882045344,11:21:00,2,1.0,0.7349846014401276,,mixed
2018-06-22,15:45:00,15:49:00,2,3.072325011236182,15:45:00,2,1.0,0.8220651342980134,,mixed
2008-03-05,11:22:00,11:22:00,1,3.072039017658001,11:22:00,2,1.0,1.4003979189254228,,mixed
2014-02-11,15:53:00,15:54:00,2,3.071824431766592,15:54:00,1,0.0,0.7693283600577538,,mixed
2009-10-29,15:51:00,15:51:00,1,3.0713569666831453,15:51:00,1,0.0,0.7770334214890391,,mixed
2015-03-30,14:52:00,14:52:00,1,3.0710551322174386,14:52:00,1,0.0,0.48456672177329946,,compressed
2010-08-18,12:57:00,12:57:00,1,3.0701633808910325,12:57:00,1,0.0,0.8727921366871141,,mixed
2019-10-23,14:12:00,14:12:00,1,3.070054571957421,14:12:00,1,0.0,0.701353768645825,,mixed
2010-03-05,14:02:00,14:04:00,3,3.0690117567998465,14:03:00,1,0.0,0.7014913797150496,,mixed
2014-12-22,15:44:00,15:44:00,1,3.06835777804015,15:44:00,1,0.0,0.4221804270119123,,compressed
2014-08-18,14:37:00,14:37:00,1,3.0674767109078442,14:37:00,1,0.0,0.44884620231916394,,compressed
2014-01-22,12:57:00,12:57:00,1,3.0674405466121173,12:57:00,1,0.0,0.8276903624837033,,mixed
2018-07-12,13:28:00,13:28:00,1,3.065195625595087,13:28:00,2,1.0,0.9696550448840108,,mixed
2011-10-19,14:29:00,14:30:00,2,3.0636509385014796,14:30:00,2,1.0,1.1958508116332174,,mixed
2016-08-31,11:21:00,11:21:00,1,3.0627775102680737,11:21:00,3,1.0,1.280290713071661,,mixed
2021-02-04,12:20:00,12:20:00,1,3.0612130385679066,12:20:00,2,1.0,0.7405340467203454,,mixed
2008-10-16,12:53:00,12:53:00,1,3.0611601005296016,12:53:00,2,1.0,1.7170309269802249,,dispersed
2013-03-14,11:57:00,12:04:00,7,3.060697617320891,12:04:00,1,0.0,0.6721782599904985,,mixed
2008-04-14,13:27:00,13:27:00,1,3.0589773795045474,13:27:00,1,0.0,0.9257254630934115,,mixed
2020-03-13,15:59:00,15:59:00,1,3.0589492242859615,15:59:00,2,1.0,1.9311124688573753,,dispersed
2019-04-01,11:29:00,11:29:00,1,3.0589428542966943,11:29:00,2,1.0,0.8756478332856688,,mixed
2016-11-16,11:48:00,11:48:00,1,3.0589297925240317,11:48:00,1,0.0,0.785230884537562,,mixed
