idx,dt,eps,eps_norm,score,engine
1112,2026-03-02 14:30:00,1.5123869322476962,1.0,1.1309967305328357,HLPPL
1115,2026-03-02 17:30:00,-0.008529353068444934,-0.005639663294213131,-0.08183724395988666,HLPPL
1118,2026-03-02 20:30:00,0.08086278990480977,0.05346699854423643,0.14812510938238665,HLPPL
1121,2026-03-03 16:30:00,0.8303501058454961,0.549032848764064,0.6813044949571808,HLPPL
1124,2026-03-03 19:30:00,-0.37797275399757657,-0.24991802424253745,-0.33661895304483236,HLPPL
1127,2026-03-04 15:30:00,1.0425950150405638,0.6893705524756606,0.8332523440757599,HLPPL
1130,2026-03-04 18:30:00,0.3771313697123224,0.24936169552313778,0.3754110411879865,HLPPL
1133,2026-03-05 14:30:00,0.7245006402125433,0.4790444989734187,0.5853611620652054,HLPPL
1136,2026-03-05 17:30:00,0.5711372801853551,0.37763965557182905,0.4975860907101874,HLPPL
1139,2026-03-05 20:30:00,-0.20085561508847594,-0.13280702894593654,-0.22556305587402362,HLPPL
1142,2026-03-06 16:30:00,-0.19768485278069292,-0.13071050044507818,-0.214949508454061,HLPPL
1145,2026-03-06 19:30:00,-0.43986492207642236,-0.29084152520592,-0.38652389568989376,HLPPL
1148,2026-03-09 14:30:00,-0.5254901681722712,-0.3474574905188399,-0.397635625770547,HLPPL
1151,2026-03-09 17:30:00,-0.29707050842223115,-0.19642493735431024,-0.288133437044665,HLPPL
1154,2026-03-10 13:30:00,-0.6250450398569223,-0.4132838141678372,-0.4834018131148183,HLPPL
1157,2026-03-10 16:30:00,-0.15117317979342415,-0.09995668209639441,-0.17444711650546096,HLPPL
1160,2026-03-10 19:30:00,-0.08014018233478915,-0.0529892057554911,-0.1585095690918836,HLPPL
1163,2026-03-11 15:30:00,-0.21575363085039,-0.14265769311411522,-0.22441292814163177,HLPPL
1166,2026-03-11 18:30:00,-0.21298444084760249,-0.1408266868129222,-0.23522548543247873,HLPPL
1169,2026-03-12 14:30:00,-0.20506352025430274,-0.13558932299787801,-0.19487111943464272,HLPPL
1172,2026-03-12 17:30:00,0.3401524594188565,0.22491100138859632,0.32468538794120394,HLPPL
1175,2026-03-13 13:30:00,-0.045373516020356774,-0.03000126161690848,-0.10778349899477677,HLPPL
1178,2026-03-13 16:30:00,-0.1107328639517311,-0.07321728427470667,-0.15450038761649754,HLPPL
1181,2026-03-13 19:30:00,0.06768938247888734,0.044756656537813355,0.16798554187001463,HLPPL
1184,2026-03-16 15:30:00,0.1366975343722734,0.0903852919233537,0.1979422820806242,HLPPL
1187,2026-03-16 18:30:00,-0.06044744667855628,-0.03996824184980217,-0.1411271574995343,HLPPL
1190,2026-03-17 14:30:00,-0.39567346826200955,-0.2616218507481833,-0.3164921317029323,HLPPL
1193,2026-03-17 17:30:00,0.3056518913154882,0.2020990031044708,0.3221170277114448,HLPPL
1196,2026-03-18 13:30:00,0.008329607674274264,0.005507590350503012,0.07681011924413815,HLPPL
1199,2026-03-18 16:30:00,-0.28237866174945836,-0.18671059351841243,-0.26349533839000416,HLPPL
1202,2026-03-18 19:30:00,-0.32530655020626487,-0.2150947904071064,-0.3050457937426079,HLPPL
1205,2026-03-19 15:30:00,0.24249671577800047,0.1603403934584412,0.27775388566415493,HLPPL
1208,2026-03-19 18:30:00,0.30382092662139293,0.20088835743235162,0.3162724546963783,HLPPL
