date,price,pos_conf,neg_conf
2021-03-17,9.16975376641644,0.0,0.0
2021-03-24,9.155258858707871,0.25,0.0
2021-03-31,9.201079623306558,0.2222222222222222,0.0
2021-04-07,9.211769350499875,0.38461538461538464,0.0
2021-04-14,9.194985080604782,0.5,0.0
2021-04-21,9.219831191329517,0.7692307692307693,0.0
2021-04-28,9.262099457866027,0.5833333333333334,0.0
2021-05-05,9.235242718668381,0.5294117647058824,0.0
2021-05-18,9.251819110792685,0.4,0.0
2021-05-25,9.254165851516213,0.09090909090909091,0.0
2021-06-01,9.268365854248074,0.0,0.0
2021-06-08,9.28130103941543,0.07692307692307693,0.0
2021-06-15,9.290202755700026,0.2727272727272727,0.0
2021-06-22,9.295750801466305,0.0,0.0
2021-06-29,9.30532140670912,0.0,0.0
2021-07-06,9.303029848007007,0.0,0.0
2021-07-13,9.281343887429804,0.0,0.0
2021-07-27,9.298046257738752,0.0,0.0
2021-08-03,9.324450894426002,0.0,0.0
2021-08-10,9.332546500209476,0.13333333333333333,0.0
2021-08-17,9.340739489143798,0.0,0.0
2021-08-24,9.318389968812177,0.0,0.0
2021-08-31,9.334259211694143,0.0,0.0
2021-09-07,9.342625738632675,0.07142857142857142,0.0
2021-09-14,9.339013231017786,0.0625,0.0
2021-09-21,9.333956141895202,0.0,0.0
2021-09-29,9.339933394391924,0.0,0.0
2021-10-06,9.35633329618398,0.0,0.0
2021-10-13,9.36091151002397,0.0,0.0
2021-10-20,9.384607915436497,0.0,0.0
2021-10-27,9.376514762129261,0.0,0.0
2021-11-03,9.366117728047962,0.0,0.0
2021-11-10,9.380716701099473,0.0,0.0
2021-11-17,9.378693151431623,0.0,0.0
2021-11-24,9.338679055794296,0.0,0.0
2021-12-01,9.291916672325865,0.0,0.0
2021-12-08,9.304904819245653,0.0,0.0
2021-12-15,9.318600878592486,0.0,0.0
2021-12-22,9.324064514793841,0.0,0.0
2021-12-29,9.323654771466858,0.0,0.0
2022-01-05,9.346013968442735,0.0,0.0
2022-01-12,9.389078850538663,0.07692307692307693,0.0
2022-01-19,9.414107813022891,0.0,0.0
2022-01-26,9.407756595566903,0.0,0.0
2022-02-02,9.408585309483227,0.0,0.0
2022-02-09,9.40963949089348,0.0,0.0
2022-02-16,9.433101450156867,0.0,0.0
2022-02-24,9.417161026702797,0.0,0.0
2022-03-03,9.453781330123771,0.14285714285714285,0.0
2022-03-10,9.448109249895928,0.0,0.0
2022-03-17,9.454792083369796,0.0,0.0
2022-03-24,9.468725190479683,0.0,0.0
2022-03-31,9.479634416114687,0.0,0.0
2022-04-07,9.496569889981362,0.42857142857142855,0.0
2022-04-14,9.519373871713993,0.4375,0.0
2022-04-21,9.51298987154975,0.6363636363636364,0.0
2022-04-28,9.5276203235759,0.2727272727272727,0.0
2022-05-12,9.459954466619928,0.0,0.0
2022-05-19,9.427704051968975,0.0,0.0
2022-05-26,9.435908182398267,0.0,0.0
2022-06-02,9.441849632957684,0.0,0.0
2022-06-09,9.44176077545095,0.0,0.0
2022-06-16,9.377922163531418,0.0,0.0
2022-06-23,9.333501806966533,0.0,0.0
2022-06-30,9.352122012517622,0.0,0.0
2022-07-13,9.331650513408723,0.0,0.0
2022-07-20,9.381292541532554,0.0,0.0
2022-07-27,9.397000835419114,0.0,0.0
2022-08-03,9.41669822847334,0.0,0.0
2022-08-10,9.427984830959542,0.0,0.0
2022-08-17,9.4451547534335,0.0,0.0
2022-08-24,9.42897537504376,0.0,0.0
2022-08-31,9.415998337578916,0.0,0.0
2022-09-07,9.381247868854734,0.0,0.0
2022-09-14,9.38372797289955,0.0,0.0
2022-09-21,9.34671309918378,0.0,0.0
2022-09-29,9.34183519219423,0.0,0.1
2022-10-06,9.372271278622403,0.0,0.0
2022-10-13,9.343277337964194,0.0,0.0
2022-10-20,9.389630672484746,0.0,0.0
2022-10-27,9.368155757131905,0.0,0.0
2022-11-03,9.34480045823125,0.0,0.0
2022-11-10,9.32471315488068,0.0,0.0
2022-11-17,9.318478825589022,0.0,0.0
2022-11-27,9.286973581603656,0.0,0.0
2022-12-04,9.280234836905592,0.0,0.0
2022-12-11,9.224076596588075,0.0,0.23076923076923078
2022-12-18,9.235196873575042,0.0,0.0
2022-12-25,9.233521599096283,0.0,0.16666666666666666
