method,mean_s,std_s,n
LM,1.294452678233326,1.1881040235903384,30
lppls-repo (NM),0.11748237083332924,0.15996303961385944,30
M-LNN,0.5476387653000018,0.02060802768914459,30
M-LNN-KAN,3.743024789933332,0.11926010704758815,30
P-LNN-100K,0.0008172550333294264,8.943762661596294e-05,30
P-LNN-100K-AR1,0.0006329989333380582,6.733371419948751e-05,30
P-LNN-100K-BOTH,0.000524354866666954,7.265553635800607e-05,30
