method,median_tc_vs_peak_days,iqr_lo,iqr_hi,median_price_c,median_price_c_vs_peak_pct,median_m,median_w,n_valid
LM,-21.27,-30.55,-13.59,325.48,-3.8,0.49,13.97,30
M-LNN,-21.95,-30.03,-13.04,331.59,-1.99,0.61,11.74,30
M-LNN-KAN,-21.63,-31.01,-8.09,334.59,-1.11,0.56,11.77,30
P-LNN-100K,-3.36,-13.48,2.17,341.18,0.84,0.6,8.6,30
P-LNN-100K-AR1,-0.55,-12.42,11.38,345.35,2.07,0.55,9.29,30
P-LNN-100K-BOTH,-4.31,-14.98,7.27,346.69,2.47,0.64,8.83,30
lppls-repo (NM),59.22,-9.15,297.06,317.9,-6.04,0.31,13.12,25
