method,median_tc_vs_peak_days,iqr_lo,iqr_hi,median_price_c,median_price_c_vs_peak_pct,median_m,median_w,n_valid
LM,-19.4,-31.33,-14.23,13338.83,-3.48,0.64,4.31,30
M-LNN,-16.86,-24.41,-6.11,13256.96,-4.08,0.72,7.47,30
M-LNN-KAN,-6.07,-14.1,27.5,13786.93,-0.24,0.63,7.13,30
P-LNN-100K,5.21,-3.54,10.86,13768.25,-0.38,0.57,7.09,30
P-LNN-100K-AR1,6.53,-3.63,15.9,14639.11,5.92,0.51,6.82,30
P-LNN-100K-BOTH,9.58,-1.13,26.31,14326.89,3.67,0.59,6.88,30
lppls-repo (NM),65.55,9.57,228.38,13245.32,-4.16,0.47,13.19,24
