method,mean_s,std_s,n
LM,0.33879917890000494,0.15555093810256151,30
lppls-repo (NM),0.028897422500004193,0.0568572836771011,30
M-LNN,0.3175021035999995,0.012439463897138698,30
M-LNN-KAN,2.115739122266666,0.044035297993702725,30
P-LNN-100K,0.0005820297000013852,3.555216952400137e-05,30
P-LNN-100K-AR1,0.00036836690000162283,2.792097460090884e-05,30
P-LNN-100K-BOTH,0.0003252560000059172,2.9763855232011413e-05,30
