idx,date,eps,eps_norm,hype,score
125,2025-12-02,-0.4368589914167931,-1.0,0.5670793267695727,-1.1134158653539146
126,2025-12-03,-0.3820187824037973,-0.8744670246224266,0.5492818700517205,-0.9843233986327707
127,2025-12-04,-0.4944601899395291,-1.0,0.5089667411994873,-1.1017933482398974
128,2025-12-05,-0.5272253850450395,-1.0,0.5007487318130165,-1.1001497463626033
129,2025-12-08,-0.46184764824661295,-0.8759966066640713,0.4691900348035444,-0.9698346136247802
130,2025-12-09,-0.23573441994599031,-0.4471226663827125,0.5641638710922869,-0.5599554406011699
131,2025-12-10,-0.24359282016795847,-0.4620278671656695,0.5336199509676443,-0.5687518573591983
132,2025-12-11,-0.2464199074928044,-0.46739006596154964,0.47369114352942154,-0.562128294667434
133,2025-12-12,-0.5079656191824591,-0.9634695778904214,0.5286911445299987,-1.0692078067964212
134,2025-12-15,-0.3839318153488165,-0.7282119303038077,0.573011580309579,-0.8428142463657236
135,2025-12-16,-0.5389194737885012,-1.0,0.4739362328212569,-1.0947872465642514
136,2025-12-17,-0.5848567194746059,-1.0,0.5502493251280711,-1.1100498650256143
137,2025-12-18,-0.5315422252207327,-0.9088417855543025,0.5350928617219898,-1.0158603578987004
138,2025-12-19,-0.4688995535580407,-0.8017340622832666,0.5756977965985706,-0.9168736216029807
139,2025-12-22,-0.4321684634398335,-0.738930491946922,0.47189226011426383,-0.8333089439697747
140,2025-12-23,-0.45017302906308565,-0.7697150670808559,0.4393312796294118,-0.8575813230067383
141,2025-12-24,-0.4412473191293813,-0.754453705389188,0.3214046785296993,-0.8187346410951278
142,2025-12-26,0.060842320014637075,0.10402944514221112,0.4186542155552675,0.18776028825326463
143,2025-12-29,0.05816223864178971,0.09944698710829307,0.3873224648891828,0.17691148008612964
144,2025-12-30,-0.046689889562772535,-0.07983132963696722,0.40741727823072427,-0.16131478528311208
145,2025-12-31,0.08299813744867102,0.1419119156624048,0.43440644928737193,0.2287932055198792
146,2026-01-02,0.06421382440463086,0.10979411241494504,0.5709607957857092,0.2239862715720869
147,2026-01-05,0.34826963892445706,0.595478563086901,0.5519923499688706,0.7058770330806751
148,2026-01-06,0.1802704252331635,0.3082300659811274,0.48885881466800185,0.4060018289147278
149,2026-01-07,0.024895442307832027,0.042566737251811586,0.4778599096475888,0.13813871918132936
150,2026-01-08,0.05794265532907428,0.09907153906195329,0.47876023688143093,0.1948235864382395
151,2026-01-09,0.061566549805504245,0.10526774807479565,0.46456153134554934,0.1981800543439055
