method,mean_s,std_s,n
LM,1.4050345536999866,0.7200375467416897,30
lppls-repo (NM),0.14903281243333216,0.15778945145684303,30
M-LNN,0.5614738385000085,0.035651220957265424,30
M-LNN-KAN,3.7614276748333473,0.10530927258232975,30
P-LNN-100K,0.0008501612666710419,0.00011073267101082643,30
P-LNN-100K-AR1,0.0006491589666666187,7.398692976350892e-05,30
P-LNN-100K-BOTH,0.0005466769999998178,4.298890932633768e-05,30
