idx,dt,eps,eps_norm,score,engine
1112,2026-03-02 14:30:00,0.018902774037870884,1.0,1.1309967305328357,HLPPL
1115,2026-03-02 17:30:00,-0.007129565003326732,-0.3771703025726785,-0.453367883238352,HLPPL
1118,2026-03-02 20:30:00,-0.008329298735942459,-0.44063896226316157,-0.5352970731013118,HLPPL
1121,2026-03-03 16:30:00,0.026874272046898184,1.0,1.1322716461931168,HLPPL
1124,2026-03-03 19:30:00,-0.004224204785168162,-0.15718397052007657,-0.2438848993223715,HLPPL
1127,2026-03-04 15:30:00,-0.01567191230919107,-0.5831567188812438,-0.727038510481343,HLPPL
1130,2026-03-04 18:30:00,-0.03182834961718317,-1.0,-1.1260493456648488,HLPPL
1133,2026-03-05 14:30:00,-0.010323774411987507,-0.3243578299270035,-0.4306744930187901,HLPPL
1136,2026-03-05 17:30:00,-0.040620963697894474,-1.0,-1.1199464351383583,HLPPL
1139,2026-03-05 20:30:00,-0.0003490031466020227,-0.00859170031507925,-0.10134772724316632,HLPPL
1142,2026-03-06 16:30:00,-0.005428948209234896,-0.1336489269336635,-0.21788793494264633,HLPPL
1145,2026-03-06 19:30:00,-0.0036279136729451267,-0.08931136395302149,-0.18499373443699524,HLPPL
1148,2026-03-09 14:30:00,-0.002765040751406822,-0.06806930460761432,-0.1182474398593214,HLPPL
1151,2026-03-09 17:30:00,0.014148407221330928,0.3483030911466113,0.44001159083696606,HLPPL
1154,2026-03-10 13:30:00,0.00958754948571805,0.2360246683712973,0.3061426673182784,HLPPL
1157,2026-03-10 16:30:00,0.014896055739632708,0.36670857566101567,0.4411990100700822,HLPPL
1160,2026-03-10 19:30:00,-0.003279094200745014,-0.08072418530323988,-0.18624454863963238,HLPPL
1163,2026-03-11 15:30:00,0.0104801506666794,0.2579985729689279,0.33975380799644445,HLPPL
1166,2026-03-11 18:30:00,0.015725803608609645,0.38713516807639814,0.48153396669595466,HLPPL
1169,2026-03-12 14:30:00,0.011331399294462585,0.2789544674207208,0.3382362638574855,HLPPL
1172,2026-03-12 17:30:00,0.016382461947115345,0.40330067176531575,0.5030750583179234,HLPPL
1175,2026-03-13 13:30:00,-0.006232261222998581,-0.15342475056350327,-0.23120698794137157,HLPPL
1178,2026-03-13 16:30:00,0.012039159017083634,0.2963779763232861,0.377661079665077,HLPPL
1181,2026-03-13 19:30:00,0.016149537430730554,0.39756657549627855,0.5207954608284798,HLPPL
1184,2026-03-16 15:30:00,-0.0280674732931967,-0.6909603007437151,-0.7985172909009856,HLPPL
1187,2026-03-16 18:30:00,-0.01328110278325667,-0.3269519374781617,-0.4281108531278939,HLPPL
1190,2026-03-17 14:30:00,0.005317148504171421,0.13089666074187764,0.18576694169662666,HLPPL
1193,2026-03-17 17:30:00,-0.005193880180144994,-0.12786206203212777,-0.24788008663910174,HLPPL
1196,2026-03-18 13:30:00,-0.027165275143520518,-0.6687501395967272,-0.7400526684903623,HLPPL
1199,2026-03-18 16:30:00,-0.015697568232800663,-0.3864400743799764,-0.4632248192515681,HLPPL
1202,2026-03-18 19:30:00,0.0005043165591169796,0.01241517958233768,0.10236618291783917,HLPPL
1205,2026-03-19 15:30:00,-0.06877621159196678,-1.0,-1.1174134922057137,HLPPL
1208,2026-03-19 18:30:00,-0.045028287013872514,-0.6547072886336752,-0.770091385897702,HLPPL
1211,2026-03-20 14:30:00,-0.014464524834559178,-0.21031290470568267,-0.27130495495209334,HLPPL
1214,2026-03-20 17:30:00,-0.021421571362912672,-0.31146774250960285,-0.40419772864830955,HLPPL
1217,2026-03-23 13:30:00,0.0029852565818071497,0.04340536520851106,0.1292478180113124,HLPPL
1220,2026-03-23 16:30:00,-0.02494536615439724,-0.3627034053924383,-0.4452453321340737,HLPPL
1223,2026-03-23 19:30:00,-0.029673288623404126,-0.4314469776184944,-0.5431032177066605,HLPPL
1226,2026-03-24 15:30:00,-0.01981425949321558,-0.288097570868965,-0.37564138721199314,HLPPL
1229,2026-03-24 18:30:00,-0.02752136380561243,-0.40015818214719734,-0.5073728222460266,HLPPL
1232,2026-03-25 14:30:00,-0.014708635696589312,-0.21386225492983266,-0.27430153002062896,HLPPL
1235,2026-03-25 17:30:00,-0.009913062042930854,-0.14413504049543668,-0.21320108515789354,HLPPL
1238,2026-03-26 13:30:00,0.003623452909725877,0.052684683059063764,0.09738794448336657,HLPPL
1241,2026-03-26 16:30:00,0.00015270424538815774,0.0022203061473364716,0.06292475701508546,HLPPL
1244,2026-03-26 19:30:00,0.011556368042744403,0.168028563586864,0.23850145413839674,HLPPL
1247,2026-03-27 15:30:00,0.023811862554222074,0.3462223638529598,0.4009637512766219,HLPPL
1250,2026-03-27 18:30:00,0.021152613126377062,0.30755711366992095,0.3723723987162838,HLPPL
1253,2026-03-30 14:30:00,0.0888559811074181,1.0,1.0983549618823014,HLPPL
1256,2026-03-30 17:30:00,0.04317390338821525,0.4858862943173433,0.6191596324928055,HLPPL
1259,2026-03-31 13:30:00,0.061524918925558225,0.6924116773994164,0.8156521204908052,HLPPL
1262,2026-03-31 16:30:00,0.01175356239270009,0.13227654735465916,0.2508051687057937,HLPPL
1265,2026-03-31 19:30:00,0.009731479170699942,0.10951968623176356,0.22099931034447473,HLPPL
1268,2026-04-01 15:30:00,0.038464418700480785,0.43288496982528507,0.5521517164446506,HLPPL
