sign,type,flag_start,flag_end,max_conf,pred_tc,pred_price_c,realised_extreme,realised_price,subsequent_move_pct
positive,episode,1995-05-09,1995-11-27,1.0,1995-08-18,1305.71,1996-05-23,1248.65,-16.5
positive,episode,1996-05-03,1996-06-24,0.4,1996-06-07,1399.15,1996-12-09,1316.27,-8.8
positive,episode,1997-02-03,1997-02-10,0.29,1997-03-01,1416.81,1997-08-06,1630.44,-8.0
positive,episode,1997-07-11,1997-10-20,0.6,1997-09-26,1754.34,1998-04-22,1917.61,-26.0
positive,episode,1999-01-13,1999-01-28,0.33,1999-03-14,3734.59,1999-07-16,2864.48,-13.1
positive,episode,1999-11-11,2000-03-08,0.5,2000-02-10,5371.24,2000-03-10,5048.62,0.0
