method,median_tc_vs_peak_days,iqr_lo,iqr_hi,median_price_c,median_price_c_vs_peak_pct,median_m,median_w,n_valid
LM,-21.85,-28.93,-20.28,330.99,-2.17,0.48,14.01,30
M-LNN,-22.73,-28.25,-4.89,333.33,-1.48,0.47,12.51,30
M-LNN-KAN,-25.83,-36.41,-18.82,331.6,-1.99,0.57,11.79,30
P-LNN-100K,-3.18,-22.65,2.15,331.7,-1.96,0.72,7.83,30
P-LNN-100K-AR1,0.51,-8.96,12.13,340.39,0.61,0.63,8.53,30
P-LNN-100K-BOTH,-3.09,-7.78,10.24,334.79,-1.05,0.69,7.91,30
lppls-repo (NM),57.32,-13.89,148.23,334.69,-1.08,0.33,15.55,29
