method,median_tc_vs_peak_days,iqr_lo,iqr_hi,median_price_c,median_price_c_vs_peak_pct,median_m,median_w,n_valid
LM,-15.63,-23.45,-11.24,13495.26,-2.35,0.68,4.84,30
M-LNN,-11.23,-22.41,3.12,13390.66,-3.11,0.67,7.4,30
M-LNN-KAN,-3.73,-17.82,19.36,14122.75,2.19,0.63,6.94,30
P-LNN-100K,5.61,-4.59,9.92,13966.75,1.06,0.65,7.36,30
P-LNN-100K-AR1,5.53,-4.34,15.42,14268.56,3.24,0.61,7.34,30
P-LNN-100K-BOTH,9.25,-1.33,21.94,13960.01,1.01,0.68,7.25,30
lppls-repo (NM),22.47,4.54,150.5,13020.92,-5.78,0.89,11.66,28
