method,mean_s,std_s,n
LM,0.8552182677666527,0.630979614608673,30
lppls-repo (NM),0.058882163333335784,0.09060197872606286,30
M-LNN,0.6445212984666416,0.051285411921662506,30
P-LNN-100K,0.0007370848666823804,0.0001716104657532953,30
P-LNN-100K-AR1,0.0005494301666734221,0.00019665689336423987,30
P-LNN-100K-BOTH,0.00047215959999296806,0.000163998433497617,30
