method,median_tc_vs_peak_days,iqr_lo,iqr_hi,median_price_c,median_price_c_vs_peak_pct,median_m,median_w,n_valid
LM,-13.06,-21.88,10.45,328.94,-2.78,0.75,8.27,30
M-LNN,-18.78,-24.76,-7.1,328.7,-2.85,0.6,11.46,30
M-LNN-KAN,-19.31,-28.43,-0.26,329.54,-2.6,0.59,10.87,30
P-LNN-100K,-10.53,-19.35,6.25,328.14,-3.02,0.81,7.89,30
P-LNN-100K-AR1,3.89,-9.0,9.13,334.89,-1.02,0.71,8.54,30
P-LNN-100K-BOTH,-0.94,-10.21,16.56,330.92,-2.19,0.74,7.91,30
lppls-repo (NM),0.31,-11.8,16.61,332.95,-1.59,0.61,10.48,30
