method,mean_s,std_s,n
LM,0.7961052298666705,0.9139901680324415,30
lppls-repo (NM),0.023912748900001665,0.023482247233638898,30
M-LNN,0.3173923093000004,0.006760228095378664,30
M-LNN-KAN,2.1304511476000036,0.03716073170285204,30
P-LNN-100K,0.0005927060000090023,3.2587920664300823e-05,30
P-LNN-100K-AR1,0.00037825343333679483,1.9369751458085763e-05,30
P-LNN-100K-BOTH,0.0003383042000033735,2.5679710317201186e-05,30
