t2_off,L,method,t1,t2,tc_norm,m,w,tc_days_after_t2,tc_idx,tc_days_vs_peak,seconds
5,150,LM,2021-09-26,2022-04-24,0.9566360401854691,0.6142789073349918,7.985594116004135,-6.461230012365103,573.5387699876349,-11.46123001236515,0.8143010559999766
5,150,lppls-repo (NM),2021-09-26,2022-04-24,1.186118012137424,0.8021487168009835,8.420288971080252,27.73158380847617,607.7315838084762,22.731583808476216,0.02482810900005461
5,150,M-LNN,2021-09-26,2022-04-24,0.963607668876648,0.5569032430648804,9.213607788085938,-5.422457337379456,574.5775426626205,-10.422457337379456,0.4653542189998916
5,150,M-LNN-KAN,2021-09-26,2022-04-24,0.9566342830657959,0.6142102479934692,8.002897262573242,-6.461491823196411,573.5385081768036,-11.461491823196411,2.7815367050000077
5,150,P-LNN-100K,2021-09-26,2022-04-24,0.911309540271759,0.6325466632843018,8.131267547607422,-13.214878499507904,566.7851215004921,-18.214878499507904,0.0006197830000473914
5,150,P-LNN-100K-AR1,2021-09-26,2022-04-24,0.9674406051635742,0.613320529460907,8.025459289550781,-4.851349830627441,575.1486501693726,-9.851349830627441,0.0004650409998703253
5,150,P-LNN-100K-BOTH,2021-09-26,2022-04-24,0.991561770439148,0.6430802345275879,8.354781150817871,-1.2572962045669556,578.742703795433,-6.257296204566956,0.0004297450000194658
5,200,LM,2021-07-08,2022-04-24,0.975141088068751,0.4911255485877995,5.114883239528863,-4.946923474318552,575.0530765256815,-9.94692347431851,0.779047386000002
5,200,lppls-repo (NM),2021-07-08,2022-04-24,1.044130394008523,0.3554075307225342,5.713329924875176,8.781948407696062,588.7819484076961,3.7819484076960634,0.013209108999944874
5,200,M-LNN,2021-07-08,2022-04-24,1.078181266784668,0.5238443613052368,6.284365177154541,15.558072090148926,595.5580720901489,10.558072090148926,0.42875656100000015
5,200,M-LNN-KAN,2021-07-08,2022-04-24,1.0587040185928345,0.3465452492237091,6.0016303062438965,11.68209969997406,591.6820996999741,6.68209969997406,2.8186436290000074
5,200,P-LNN-100K,2021-07-08,2022-04-24,1.1491706371307373,0.28623688220977783,7.730942726135254,29.684956789016724,609.6849567890167,24.684956789016724,0.0007388999999875523
5,200,P-LNN-100K-AR1,2021-07-08,2022-04-24,1.127801537513733,0.31100746989250183,7.820476531982422,25.43250596523285,605.4325059652328,20.43250596523285,0.0004923690000850911
5,200,P-LNN-100K-BOTH,2021-07-08,2022-04-24,1.2248986959457397,0.3070484399795532,7.609575271606445,44.75484049320221,624.7548404932022,39.75484049320221,0.0004229439998653106
5,252,LM,2021-04-21,2022-04-24,0.9782386443077862,0.36792466493281467,4.906582578326847,-5.46210027874567,574.5378997212543,-10.462100278745652,0.3470432770000116
5,252,lppls-repo (NM),2021-04-21,2022-04-24,2.7880336018504956,-1.1061222294160293,22.33912307599494,448.7964340644744,1028.7964340644744,443.7964340644744,0.01664675899996837
5,252,M-LNN,2021-04-21,2022-04-24,1.021030306816101,0.3900172710418701,6.009635925292969,5.27860701084137,585.2786070108414,0.27860701084136963,0.4262005699999918
5,252,M-LNN-KAN,2021-04-21,2022-04-24,1.1124249696731567,0.11096185445785522,7.040552139282227,28.21866738796234,608.2186673879623,23.21866738796234,2.654230749999897
5,252,P-LNN-100K,2021-04-21,2022-04-24,1.0287715196609497,0.36300384998321533,7.776313304901123,7.2216514348983765,587.2216514348984,2.2216514348983765,0.0007105910001428128
