idx,date,eps,eps_norm,hype,score
125,2025-12-02,-0.01149411066599626,-1.0,0.5670793267695727,-1.1134158653539146
126,2025-12-03,-0.002580522827535958,-0.22450826362496046,0.5492818700517205,-0.33436463763530455
127,2025-12-04,0.0696768291992722,1.0,0.5089667411994873,1.1017933482398974
128,2025-12-05,-0.046092604187575326,-0.6615198297234911,0.5007487318130165,-0.7616695760860944
129,2025-12-08,-0.01905568376102673,-0.2734866666582723,0.4691900348035444,-0.3673246736189812
130,2025-12-09,0.046687853860820194,0.6700628372065454,0.5641638710922869,0.7828956114250027
131,2025-12-10,0.023169172988860787,0.3325233546807666,0.5336199509676443,0.43924734487429545
132,2025-12-11,0.043100690241399064,0.6185799603212895,0.47369114352942154,0.7133181890271738
133,2025-12-12,-0.13917660411397437,-1.0,0.5286911445299987,-1.1057382289059998
134,2025-12-15,-0.2278112297372159,-1.0,0.573011580309579,-1.1146023160619158
135,2025-12-16,-0.18470273125969827,-0.81077096801925,0.4739362328212569,-0.9055582145835014
136,2025-12-17,-0.20931238575087407,-0.918797488571215,0.5502493251280711,-1.0288473535968292
137,2025-12-18,-0.15441910497381128,-0.677837985212302,0.5350928617219898,-0.7848565575566999
138,2025-12-19,-0.032830374995108436,-0.14411218899515546,0.5756977965985706,-0.2592517483148696
139,2025-12-22,-0.016064664117474425,-0.07051743733618965,0.47189226011426383,-0.16489588935904242
140,2025-12-23,-0.11536251802565278,-0.5063952209850471,0.4393312796294118,-0.5942614769109295
141,2025-12-24,0.10834079921753315,0.4755726894697249,0.3214046785296993,0.5398536251756648
142,2025-12-26,-0.018372563057511115,-0.080648188760072,0.4186542155552675,-0.1643790318711255
143,2025-12-29,-0.03138134445726637,-0.1377515256533459,0.3873224648891828,-0.21521601863118245
144,2025-12-30,-0.030192220680735904,-0.1325317488324133,0.40741727823072427,-0.21401520447855815
145,2025-12-31,-0.021652340369098688,-0.09504509674117044,0.43440644928737193,-0.18192638659864485
146,2026-01-02,0.06211145452949207,0.2726443933476795,0.5709607957857092,0.38683655250482135
147,2026-01-05,0.12913668673799528,0.5668583014408756,0.5519923499688706,0.6772567714346497
148,2026-01-06,-0.01319274815041016,-0.05791087720139265,0.48885881466800185,-0.15568264013499303
149,2026-01-07,0.027132141882026506,0.11909922927558877,0.4778599096475888,0.21467121120510654
150,2026-01-08,-0.03759324948087883,-0.16501929919891692,0.47876023688143093,-0.2607713465752031
151,2026-01-09,0.013313344187668719,0.0584402454744039,0.46456153134554934,0.15135255174351378
152,2026-01-12,-0.04555500592341488,-0.19996821919605698,0.43723354414364957,-0.2874149280247869
153,2026-01-13,-0.049515360760880256,-0.21735258976476735,0.49280390769556515,-0.31591337130388036
154,2026-01-14,0.0949671081307768,0.4168675452931928,0.6093128019879278,0.5387301056907784
155,2026-01-15,-0.06755764505559947,-0.2965509871200307,0.5150744244550243,-0.39956587201103555
156,2026-01-16,-0.06658506459290603,-0.2922817486640717,0.5001325372032066,-0.39230825610471304
157,2026-01-20,-0.1569394553579877,-0.6889013133330609,0.5343663057166704,-0.795774574476395
158,2026-01-21,0.01954111082408616,0.08577764514342494,0.5336295547493707,0.19250355609329908
159,2026-01-22,-0.12138140124565311,-0.5328157061689567,0.420336696650654,-0.6168830454990875
160,2026-01-23,-0.12292788443693192,-0.5396041476038355,0.38843537926783045,-0.6172912234574015
161,2026-01-26,-0.15755033990198308,-0.6915828516606493,0.4204290334957105,-0.7756686583597914
162,2026-01-27,-0.10366724710849473,-0.45505766870262127,0.41166843073720566,-0.5373913548500624
163,2026-01-28,0.057387356967409264,0.25190749829851034,0.43090694160733267,0.3380888866199769
164,2026-01-29,-0.00930746257542392,-0.04085603060990555,0.5609264805796567,-0.1530413267258369
165,2026-01-30,-0.04782180454553275,-0.20991855669580473,0.4978421104743927,-0.30948697879068326
