t2_off,L,method,t1,t2,tc_norm,m,w,tc_days_after_t2,tc_idx,tc_days_vs_peak,price_c,price_c_vs_peak_pct,seconds
5,150,LM,2019-07-10,2020-02-11,1.1028984143217833,2.4903480225352927,0.010896850165618916,15.331863733945706,5577.331863733945,10.331863733945283,332.9825743864085,-1.583444349941332,3.1895001990000083
5,150,lppls-repo (NM),2019-07-10,2020-02-11,7.633753893454841,2.377952287953795,-0.3154706625838547,988.4293301247714,6550.429330124772,983.4293301247717,3.660382353946577e-23,-100.0,0.04212716500001079
5,150,M-LNN,2019-07-10,2020-02-11,1.004880428314209,0.6783249378204346,6.055276870727539,0.7271838188171387,5562.727183818817,-4.272816181182861,337.9408388282971,-0.11797634678218927,0.5228128200000128
5,150,M-LNN-KAN,2019-07-10,2020-02-11,1.0272133350372314,0.653457760810852,6.157362937927246,4.054786920547485,5566.0547869205475,-0.9452130794525146,340.9601877378934,0.7744244658903554,3.5622532130000195
5,150,P-LNN-100K,2019-07-10,2020-02-11,1.00943124294281,0.7048174142837524,7.061952114105225,1.4052551984786987,5563.405255198479,-3.5947448015213013,337.57971007169044,-0.22471180714946914,0.0008631430000036744
5,150,P-LNN-100K-AR1,2019-07-10,2020-02-11,1.0127426385879517,0.5834347605705261,8.614921569824219,1.8986531496047974,5563.898653149605,-3.1013468503952026,342.33555515624676,1.1809289933932599,0.0006344670000544284
5,150,P-LNN-100K-BOTH,2019-07-10,2020-02-11,1.0233092308044434,0.6891811490058899,7.345249176025391,3.4730753898620605,5565.473075389862,-1.5269246101379395,339.32037637199596,0.28976070579771473,0.000514511999995193
5,200,LM,2019-04-29,2020-02-11,5.036667513212785,-5.476749046919186,43.80425564886165,803.2968351293441,6365.296835129344,798.2968351293439,267.9251534068719,-20.811859843095128,1.1867758719999983
5,200,lppls-repo (NM),2019-04-29,2020-02-11,2.5178871143871167,-1.2407202303403104,17.995161357877798,302.0595357630362,5864.059535763036,297.05953576303637,238.09424549787047,-29.62870322815201,0.02445423900002197
5,200,M-LNN,2019-04-29,2020-02-11,1.046777606010437,0.388350248336792,6.009206771850586,9.308743596076965,5571.308743596077,4.308743596076965,365.4415457694922,8.010151258938425,0.5415384640000411
5,200,M-LNN-KAN,2019-04-29,2020-02-11,1.1799107789993286,0.5740484595298767,6.052581787109375,35.802245020866394,5597.802245020866,30.802245020866394,364.8642579799043,7.839527688096104,3.9016503330000205
5,200,P-LNN-100K,2019-04-29,2020-02-11,1.0520602464675903,0.35659411549568176,7.082586765289307,10.359989047050476,5572.3599890470505,5.359989047050476,370.0470210539485,9.371348659321566,0.0007860769999865624
5,200,P-LNN-100K-AR1,2019-04-29,2020-02-11,1.0875685214996338,0.29281455278396606,7.934152603149414,17.426135778427124,5579.426135778427,12.426135778427124,394.1775272205387,16.503377437057033,0.0006877100000224345
5,200,P-LNN-100K-BOTH,2019-04-29,2020-02-11,1.03635573387146,0.3785814940929413,7.043274879455566,7.234791040420532,5569.2347910404205,2.2347910404205322,362.8461226626233,7.243046244199136,0.0005197990000169739
5,252,LM,2019-02-12,2020-02-11,1.2438465050776302,-0.46104769805497675,24.56630859703431,61.20547277448517,5623.205472774485,56.205472774485315,238.5726387667738,-29.487308988953775,1.5489690139999652
5,252,lppls-repo (NM),2019-02-12,2020-02-11,1.9838645977517682,-1.3077062123757066,13.121377149663974,246.9500140356938,5808.950014035694,241.95001403569404,250.68059060881853,-25.908674525974295,0.025768739000000096
5,252,M-LNN,2019-02-12,2020-02-11,0.972436249256134,0.4478110671043396,12.989356994628906,-6.918501436710358,5555.08149856329,-11.918501436710358,341.5833178386842,0.958597221340729,0.5487958919999869
5,252,M-LNN-KAN,2019-02-12,2020-02-11,1.0557018518447876,0.10014727711677551,11.162646293640137,13.981164813041687,5575.981164813042,8.981164813041687,601.5152659961624,77.7842602104872,3.886097181000025
5,252,P-LNN-100K,2019-02-12,2020-02-11,0.9997792840003967,0.2409232258796692,6.9771013259887695,-0.05539971590042114,5561.9446002841,-5.055399715900421,375.72066407557054,11.048254440967842,0.000830088999975942
5,252,P-LNN-100K-AR1,2019-02-12,2020-02-11,1.0297120809555054,0.22399836778640747,7.149958610534668,7.457732319831848,5569.457732319832,2.457732319831848,400.5631384238618,18.390713017633686,0.0006400230000167539
5,252,P-LNN-100K-BOTH,2019-02-12,2020-02-11,1.0361484289169312,0.2505021095275879,6.968447208404541,9.07325565814972,5571.07325565815,4.073255658149719,392.20224686876423,15.91956223584685,0.0005526749999944514
5,300,LM,2018-11-30,2020-02-11,377.76184080546557,59.349813950709816,3294.17797725175,112651.7904008342,118213.7904008342,112646.7904008342,1234.4533438102442,264.85586800562874,1.102987741999982
5,300,lppls-repo (NM),2018-11-30,2020-02-11,,,,,,,,,0.3611870909999766
5,300,M-LNN,2018-11-30,2020-02-11,1.0566352605819702,0.7322144508361816,6.216161251068115,16.933942914009094,5578.933942914009,11.933942914009094,339.5071473930613,0.34496287552796545,0.5417780710000102
5,300,M-LNN-KAN,2018-11-30,2020-02-11,1.19971764087677,0.7382090091705322,6.714395523071289,59.715574622154236,5621.715574622154,54.715574622154236,356.3420135800961,5.32068735003135,3.754172599999947
5,300,P-LNN-100K,2018-11-30,2020-02-11,1.0874879360198975,0.7786661386489868,7.287424087524414,26.15889286994934,5588.158892869949,21.15889286994934,339.7605623511864,0.41986237252067404,0.0008481980000851763
5,300,P-LNN-100K-AR1,2018-11-30,2020-02-11,1.099228858947754,0.7059239149093628,8.262864112854004,29.669428825378418,5591.669428825378,24.669428825378418,345.56857577284654,2.1364827607869508,0.0006039820000296459
5,300,P-LNN-100K-BOTH,2018-11-30,2020-02-11,1.1708004474639893,0.7266865968704224,7.246464729309082,51.06933379173279,5613.069333791733,46.06933379173279,353.20024854227086,4.392105143426983,0.0006279599999743368
5,350,LM,2018-09-20,2020-02-11,0.9743200569378164,0.7165431296176324,13.578726427737337,-8.962300128702067,5553.037699871298,-13.962300128701827,326.02527871973246,-3.6397473784558487,1.4470400540000128
5,350,lppls-repo (NM),2018-09-20,2020-02-11,1.0847418295482731,0.42553161791200383,7.94413532602866,29.574898512347325,5591.574898512347,24.574898512347318,361.41405268226964,6.8197826689926355,0.369388095999966
5,350,M-LNN,2018-09-20,2020-02-11,0.967278003692627,0.7057516574859619,12.9789400100708,-11.419976711273193,5550.580023288727,-16.419976711273193,325.7288752548526,-3.7273525876773017,0.569252978999998
5,350,M-LNN-KAN,2018-09-20,2020-02-11,0.9739887714385986,0.667775571346283,12.960747718811035,-9.077918767929077,5552.922081232071,-14.077918767929077,327.75887356483673,-3.127364909606678,3.7571200670000735
5,350,P-LNN-100K,2018-09-20,2020-02-11,1.1228628158569336,0.7268996238708496,10.625165939331055,42.879122734069824,5604.87912273407,37.879122734069824,338.39447577683444,0.01610089756884925,0.0009432099999457932
5,350,P-LNN-100K-AR1,2018-09-20,2020-02-11,1.1353366374969482,0.653329074382782,11.213449478149414,47.23248648643494,5609.232486486435,42.23248648643494,345.13835887871886,2.0093275636102303,0.0006871750000527754
5,350,P-LNN-100K-BOTH,2018-09-20,2020-02-11,1.0807490348815918,0.6779508590698242,10.548913955688477,28.181413173675537,5590.1814131736755,23.181413173675537,337.16136944120825,-0.34835684778380394,0.0005637379999825498
10,150,LM,2019-07-02,2020-02-04,0.9767539790945119,1.929580575549759,-0.010249937948150652,-3.463657114917728,5553.536342885082,-13.463657114917623,329.3602734401789,-2.6540540757288733,1.143500730000028
10,150,lppls-repo (NM),2019-07-02,2020-02-04,1.0980045507740321,0.31041130984393206,17.976292652976237,14.602678065330789,5571.602678065331,4.60267806533102,382.77265219671494,13.132544835584014,0.4465611360000139
10,150,M-LNN,2019-07-02,2020-02-04,1.0658433437347412,0.4625154733657837,6.000840663909912,9.81065821647644,5566.810658216476,-0.18934178352355957,354.12102619977935,4.664250812726656,0.6497008869999945
10,150,M-LNN-KAN,2019-07-02,2020-02-04,0.9245768785476685,0.500853955745697,12.888442993164062,-11.2380450963974,5545.761954903603,-21.2380450963974,336.09121953617284,-0.6646510799276251,3.8046162870000444
10,150,P-LNN-100K,2019-07-02,2020-02-04,1.0713008642196655,0.6620383858680725,7.68147087097168,10.623828768730164,5567.62382876873,0.6238287687301636,341.37361623951415,0.8966176743849807,0.0007594549999794253
10,150,P-LNN-100K-AR1,2019-07-02,2020-02-04,0.9981691837310791,0.5470003485679626,8.484227180480957,-0.27279162406921387,5556.727208375931,-10.272791624069214,338.7345232304305,0.11660555371240111,0.000565983999990749
10,150,P-LNN-100K-BOTH,2019-07-02,2020-02-04,1.0049395561218262,0.639815092086792,8.434733390808105,0.7359938621520996,5557.735993862152,-9.2640061378479,335.8605091157901,-0.7328400083377318,0.000567614999908983
10,200,LM,2019-04-22,2020-02-04,0.9657919062251208,0.3574359945819287,15.250433694739009,-6.807410661200963,5550.192589338799,-16.807410661201175,345.21173590103024,2.031014926118768,1.360596987000008
10,200,lppls-repo (NM),2019-04-22,2020-02-04,1.575201148476522,-1.5894384222112712,10.869719392912955,114.46502854682788,5671.465028546828,104.46502854682785,274.92403557350696,-18.743265480431827,0.043256143000007796
10,200,M-LNN,2019-04-22,2020-02-04,0.9497448801994324,0.3137591481208801,11.798318862915039,-10.000768840312958,5546.999231159687,-20.000768840312958,348.2075501750741,2.916459825936668,0.5221043679999866
10,200,M-LNN-KAN,2019-04-22,2020-02-04,1.02706778049469,0.27660638093948364,7.551451206207275,5.386488318443298,5562.386488318443,-4.613511681556702,373.45411256719444,10.37835093905375,3.7097154260000025
10,200,P-LNN-100K,2019-04-22,2020-02-04,1.0529992580413818,0.32903096079826355,8.012090682983398,10.546852350234985,5567.546852350235,0.5468523502349854,368.2135706351463,8.829452809347504,0.0007259010000097987
10,200,P-LNN-100K-AR1,2019-04-22,2020-02-04,1.0723152160644531,0.21585442125797272,9.45974063873291,14.390727996826172,5571.390727996826,4.390727996826172,410.6065341122984,21.35914586282983,0.0006514100000458711
10,200,P-LNN-100K-BOTH,2019-04-22,2020-02-04,1.0454139709472656,0.34705406427383423,8.061152458190918,9.03738021850586,5566.037380218506,-0.9626197814941406,363.10295045456706,7.318954440671255,0.0005151859999159569
10,252,LM,2019-02-05,2020-02-04,0.9647061499843643,0.3274371625302696,16.958054314938263,-8.858756353924555,5548.141243646075,-18.858756353924946,348.7166552076854,3.0669312548576633,1.974033808999934
10,252,lppls-repo (NM),2019-02-05,2020-02-04,1.975716637163686,-1.318602790552557,13.13228386768623,244.9048759280852,5801.904875928085,234.90487592808495,251.7088775265998,-25.604753346751842,0.0456473349998987
10,252,M-LNN,2019-02-05,2020-02-04,1.0472571849822998,0.1517377346754074,6.207517147064209,11.861553430557251,5568.861553430557,1.861553430557251,463.97983495860075,37.13419488047549,0.5658298729999842
10,252,M-LNN-KAN,2019-02-05,2020-02-04,1.0559971332550049,0.10687428712844849,9.367280960083008,14.055280447006226,5571.055280447006,4.055280447006226,563.7190902511464,66.61319685852885,3.8713976899999807
10,252,P-LNN-100K,2019-02-05,2020-02-04,1.048581600189209,0.21544446051120758,7.031322479248047,12.193981647491455,5569.1939816474915,2.193981647491455,408.24058612535515,20.659864670259264,0.0009170779999294609
10,252,P-LNN-100K-AR1,2019-02-05,2020-02-04,1.0602952241897583,0.20379821956157684,6.803791046142578,15.134101271629333,5572.134101271629,5.1341012716293335,421.562028355055,24.597159175697534,0.0007007680000015171
10,252,P-LNN-100K-BOTH,2019-02-05,2020-02-04,1.0730606317520142,0.20256173610687256,6.634956359863281,18.338218569755554,5575.338218569756,8.338218569755554,429.03230278446557,26.805078555437014,0.0006038369999714632
10,300,LM,2018-11-23,2020-02-04,60.088473032928434,-0.761490263065729,589.6331460498991,17667.4534368456,23224.4534368456,17657.4534368456,3.6803896807203924e-05,-99.99998912221528,0.8814658720000352
10,300,lppls-repo (NM),2018-11-23,2020-02-04,1.0028434995992999,0.6612483407025493,4.0891993549152765,0.8502063801906579,5557.850206380191,-9.149793619809316,335.37147254533085,-0.8773799889664646,0.19923041100003047
10,300,M-LNN,2018-11-23,2020-02-04,0.975419282913208,0.7210129499435425,12.815673828125,-7.349634408950806,5549.650365591049,-17.349634408950806,328.0946780003682,-3.0281143227616436,0.5474503670000104
10,300,M-LNN-KAN,2018-11-23,2020-02-04,0.9828587770462036,0.7796348333358765,12.871305465698242,-5.12522566318512,5551.874774336815,-15.12522566318512,326.6906548986953,-3.4430883434724446,3.8480280229999835
10,300,P-LNN-100K,2018-11-23,2020-02-04,1.088118314743042,0.6444281339645386,7.150256156921387,26.347376108169556,5583.34737610817,16.347376108169556,344.3978623560457,1.790465908862604,0.0008290289999877132
10,300,P-LNN-100K-AR1,2018-11-23,2020-02-04,1.0610737800598145,0.6583573818206787,8.847075462341309,18.26106023788452,5575.2610602378845,8.261060237884521,340.92676574138306,0.7645462379213486,0.0006507819999796993
10,300,P-LNN-100K-BOTH,2018-11-23,2020-02-04,1.127042293548584,0.6789529323577881,7.37540864944458,37.98564577102661,5594.985645771027,27.98564577102661,346.5751837376896,2.433996493967494,0.0005029079999303576
10,350,LM,2018-09-13,2020-02-04,0.9682100359220905,0.729053245176963,12.804538986924173,-11.094697463190402,5545.905302536809,-21.09469746319064,322.63389301186515,-4.642107639692272,2.523475160999965
10,350,lppls-repo (NM),2018-09-13,2020-02-04,1.0998200964590747,0.5446663966102105,8.28019666684114,34.83721366421709,5591.837213664217,24.837213664217415,344.1971931737446,1.731155989166111,0.19930086599993047
10,350,M-LNN,2018-09-13,2020-02-04,0.9681317806243896,0.7299146056175232,12.808066368103027,-11.122008562088013,5545.877991437912,-21.122008562088013,322.60099766356,-4.651830211160357,0.5634964660000605
10,350,M-LNN-KAN,2018-09-13,2020-02-04,0.9681274890899658,0.7288695573806763,12.80507755279541,-11.123506307601929,5545.876493692398,-21.12350630760193,322.6333151817011,-4.642278423567669,3.6864407660000325
10,350,P-LNN-100K,2018-09-13,2020-02-04,1.1257108449935913,0.7474731206893921,10.672916412353516,43.87308490276337,5600.873084902763,33.87308490276337,334.2375177221817,-1.2125324460064757,0.0009271630000284858
