t2_off,L,method,t1,t2,tc_norm,m,w,tc_days_after_t2,tc_idx,tc_days_vs_peak,seconds
5,150,LM,2019-07-10,2020-02-11,1.2053342118318775,2.7907295705709476,0.011215852599582911,30.594797562949747,5592.59479756295,25.59479756294968,1.5274568219999765
5,150,lppls-repo (NM),2019-07-10,2020-02-11,1.2053232338434356,2.790706876905368,-2.995155785123953e-06,30.59316184267191,5592.593161842672,25.59316184267209,0.019505873999833057
5,150,M-LNN,2019-07-10,2020-02-11,1.0369144678115845,0.5990461707115173,6.022488117218018,5.500255703926086,5567.500255703926,0.5002557039260864,0.4611028719998558
5,150,M-LNN-KAN,2019-07-10,2020-02-11,1.0310378074645996,0.6272910833358765,6.016085147857666,4.624633312225342,5566.624633312225,-0.3753666877746582,2.7025370510000357
5,150,P-LNN-100K,2019-07-10,2020-02-11,1.0136717557907104,0.7238802909851074,6.951875686645508,2.037091612815857,5564.037091612816,-2.962908387184143,0.000632259999974849
5,150,P-LNN-100K-AR1,2019-07-10,2020-02-11,1.0341883897781372,0.6358904838562012,8.329277038574219,5.094070076942444,5567.094070076942,0.09407007694244385,0.0004555850000542705
5,150,P-LNN-100K-BOTH,2019-07-10,2020-02-11,1.017064094543457,0.6669813990592957,7.2846150398254395,2.5425500869750977,5564.542550086975,-2.4574499130249023,0.0004149129999859724
5,200,LM,2019-04-29,2020-02-11,1.2682459512714535,-0.25221311390868517,23.506690073590164,53.380944303019234,5615.3809443030195,48.38094430301953,0.6013588170001185
5,200,lppls-repo (NM),2019-04-29,2020-02-11,1.6167769348143515,-1.5042082306048732,11.798883290971176,122.73861002805594,5684.7386100280555,117.73861002805552,0.018057492000025377
5,200,M-LNN,2019-04-29,2020-02-11,1.0265240669250488,0.44156414270401,6.007402420043945,5.278289318084717,5567.278289318085,0.2782893180847168,0.4550586310001563
5,200,M-LNN-KAN,2019-04-29,2020-02-11,1.029015302658081,0.40562665462493896,6.012430191040039,5.77404522895813,5567.774045228958,0.7740452289581299,2.8264754540000467
5,200,P-LNN-100K,2019-04-29,2020-02-11,1.0364744663238525,0.7345250844955444,6.36496114730835,7.258418798446655,5569.258418798447,2.2584187984466553,0.0006079979998503404
5,200,P-LNN-100K-AR1,2019-04-29,2020-02-11,1.0838426351547241,0.36676597595214844,8.291905403137207,16.6846843957901,5578.68468439579,11.6846843957901,0.00048654200008968473
5,200,P-LNN-100K-BOTH,2019-04-29,2020-02-11,1.0636935234069824,0.5016096830368042,6.94551944732666,12.675011157989502,5574.6750111579895,7.675011157989502,0.00037117800002306467
5,252,LM,2019-02-12,2020-02-11,1.2210696388476803,-0.201653871008818,24.099430740696487,55.48847935076775,5617.488479350768,50.4884793507681,0.6146234109999114
5,252,lppls-repo (NM),2019-02-12,2020-02-11,1.6508769190922061,-1.2076796137023873,36.95850457051257,163.37010669214374,5725.370106692144,158.37010669214396,0.015846415999931196
5,252,M-LNN,2019-02-12,2020-02-11,1.0600777864456177,0.10177862644195557,6.909358978271484,15.079524397850037,5577.07952439785,10.079524397850037,0.4314971549999882
5,252,M-LNN-KAN,2019-02-12,2020-02-11,1.100460410118103,0.1000964343547821,8.96744155883789,25.21556293964386,5587.215562939644,20.21556293964386,2.640396828000121
5,252,P-LNN-100K,2019-02-12,2020-02-11,1.0181748867034912,0.3347381055355072,7.566591262817383,4.561896562576294,5566.561896562576,-0.43810343742370605,0.0005968000000393658
5,252,P-LNN-100K-AR1,2019-02-12,2020-02-11,1.0688233375549316,0.26342684030532837,7.523012161254883,17.274657726287842,5579.274657726288,12.274657726287842,0.0004486190000534407
5,252,P-LNN-100K-BOTH,2019-02-12,2020-02-11,1.0703045129776,0.38795897364616394,7.509103775024414,17.646432757377625,5579.646432757378,12.646432757377625,0.00039566499981447123
5,300,LM,2018-11-30,2020-02-11,1.0341489196642866,0.8412766030855653,3.678996742687587,10.210526979621685,5572.210526979622,5.2105269796220455,0.9535245990000476
5,300,lppls-repo (NM),2018-11-30,2020-02-11,1.0073937631710488,0.7412916839094884,10.803867697330656,2.2107351881435866,5564.210735188143,-2.7892648118568104,0.0478178350001599
5,300,M-LNN,2018-11-30,2020-02-11,1.0126817226409912,0.7418086528778076,11.053561210632324,3.791835069656372,5565.791835069656,-1.208164930343628,0.4498315010000624
5,300,M-LNN-KAN,2018-11-30,2020-02-11,1.1752469539642334,0.6363006830215454,6.5818352699279785,52.398839235305786,5614.398839235306,47.398839235305786,2.689393830999961
5,300,P-LNN-100K,2018-11-30,2020-02-11,0.9653165936470032,0.8532279133796692,7.030919075012207,-10.370338499546051,5551.629661500454,-15.370338499546051,0.0005813469999793597
