t2_idx,L,tc,m,w,b,a,price_c,O,D,qualified
40,40,41.87533992132995,0.27699135040659917,5.536740666603702,0.0003455657145692424,6.668957260230056,787.5739414761969,2.7156255621999033,0.004665878454729469,False
45,40,63.84544023622878,0.046278413802266896,15.055879223241558,0.11353012561873965,6.537255743501714,690.3893704987423,2.687366768242855,0.07941480438702077,False
50,40,57.255136334976,0.6251776629117219,11.345643151176237,-0.00010158142808973258,6.671611794686169,789.6673609383462,3.345020281384033,0.007761951999070084,False
55,40,85.36199181406127,1.466103973753431,27.383185151097802,-3.188053334466991e-05,6.682020152381786,797.9294239568153,3.6004906166407564,0.06892284079376548,False
60,40,61.28962459903167,-1.4110659234723415,10.982166577679804,0.02140699319666806,6.671719966223235,789.7527850906977,6.015705578431653,-0.02078347313413281,False
60,60,72.92580860564671,-2.9014173350281496,5.753786243315917,11.664675927195443,6.6700875118231995,788.4646014183621,1.571790580486009,-0.07276485141909904,False
65,40,70.5607655463736,-2.8231957284544738,32.23108418231571,-19.388381910346794,6.673645397607177,791.2748647484057,10.675586634020082,-0.1397768397233551,False
65,60,77.36681903597061,-3.2019946400936585,33.51565333187759,-252.37120693470433,6.67432535159361,791.8130782065123,9.34983959293753,-0.3018990474907372,False
70,40,73.92454470160982,0.24866709492641592,5.135386348340321,0.09699717141365684,6.454784210867904,635.7365264169039,1.9551926309155407,0.42229767221149206,False
70,60,81.96857875527736,-2.7651383841245067,7.6025613844021915,-147.22057852088304,6.6771746018276374,794.072368918741,2.1537161620284087,-0.6615599994612599,False
75,40,75.10201630997719,0.5913196213266139,5.9108318496644445,0.01786405034805873,6.550789756370116,699.7966244784235,5.5962596602012,0.43836843396448966,False
75,60,91.38788237964769,-2.572241242008987,7.378032119485681,-231.8158737389301,6.680844219216396,796.9916637632629,1.7920284852576807,-1.1158285007497064,False
80,40,94.5790410088903,1.3350098947649345,13.34810792092147,0.0008407108103624255,6.541507316880959,693.3308601163133,2.7650843052703262,0.46052439009237667,False
80,60,174.31983943155603,-1.463231975483719,17.77169173044485,-149.818069344203,6.785535190889666,884.9535793228255,1.3741602421457635,-0.4624323680899135,False
80,80,112.6471706838566,-2.3717297029054185,23.318758267592592,-520.1506882623069,6.684814017333473,800.1618481019837,4.56335509235352,-0.3622782224486682,False
85,40,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False
85,60,160.99850768565466,-1.5914249667809313,15.909346492986558,-185.37283601369822,6.7602005642305745,862.8152283089838,1.454790030209726,-0.47128954817006574,False
85,80,118.25813826511995,-1.9713299684349876,8.59886724139116,-155.8638269051218,6.69609757390587,809.2416494728681,1.6648458749577624,-0.5374825507706907,False
90,40,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False
90,60,236.61978220017804,-1.1934606247959514,31.61808131866686,-162.51231997381748,6.976687285682361,1071.3633611416033,1.7018109022924497,-0.5246064019762146,False
90,80,130.002138807383,-1.2618415328469934,10.464248591470657,-21.479791239510707,6.7413700150713245,846.7199606993129,1.8156735247169986,-0.5093626352304915,False
95,40,98.29601204699372,0.9606458111336822,4.709531581397265,0.0018371780835473878,6.567010448930033,711.240372222065,1.9128240908889154,0.33591507148840605,False
95,60,99.33713167572031,0.8785529952874269,5.274049158629877,0.0024222496306172863,6.563784514595953,708.949654324845,2.250624261974199,0.28967363825711984,False
95,80,104.47629744146806,1.3625770285992551,6.6313105763289535,0.00038130031474007157,6.563356022001002,708.6459397221499,2.357714433258827,0.6249027912226485,False
100,40,294.3572061692177,3.335576105291636,79.22651495248638,5.115627804456883e-10,6.560752996129671,706.8037147273046,2.3058941485687807,0.07053314938263867,False
100,60,100.61658316711578,1.4411710449284953,5.7046510233277665,0.0001828939773022689,6.581612962166138,721.7024697250705,4.150568087041443,0.2529143131116488,False
100,80,106.16723018432207,2.1568926459056934,7.070767697771814,1.2363017639193337e-05,6.5790356065630835,719.8447808117999,2.954450439514625,0.6699750372168304,False
100,100,149.32119430303737,0.21263108272199321,8.88003666947223,0.21941866994811854,6.0624818947673385,429.43994006051946,1.5560823197402402,0.6068593198356288,False
105,40,123.2384813998848,2.2633106451922274,15.924269669241056,6.499175705098875e-07,6.5899226333123,727.724566081601,2.8986047796869463,0.02645136953400047,False
105,60,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False
105,80,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False
105,100,451.63023939790855,-1.0631261924321236,39.650567848057634,-277.4591504646464,7.121463906530758,1238.2618068473203,1.5854138494842382,-0.5535212815335016,False
110,40,119.09212710449033,0.416660995442093,12.824482230474608,-0.004529537454719881,6.610101040898684,742.5580436583214,3.399846117278031,0.05274383798836597,False
110,60,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False
110,80,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False
110,100,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False
115,40,197.68793546507763,5.698759084715964,29.953209086657612,-4.4806487232572094e-14,6.605049814212757,738.8166718659191,1.841980568104195,0.18519354161382073,False
115,60,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False
115,80,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False
115,100,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False
120,40,333.346569190321,-0.8301784915802484,30.98993173369835,-69.25581599228826,7.340469516242645,1541.4356728769214,0.8280449438615745,-0.5105852022520279,False
120,60,122.28129391472385,0.5315408373147559,1.9767762624297704,0.014505690030337786,6.528845978768267,684.6077036227189,1.0353093681221757,0.6073983400080654,False
120,80,154.40162890250946,9.366929195964309,18.62374219616043,1.105137947957751e-20,6.587806887018077,726.1865131663196,3.535625895416631,0.8457131083382197,False
120,100,8917.424073659487,-0.12510009546211476,935.943374751439,-294.89362480307113,101.22743631409371,9.17311859685293e+43,1.6669291168095561,-0.48953866755592557,False
125,40,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False
125,60,128.06794014105185,0.33223364145831225,17.0166183488652,0.014302922630312374,6.544699794663281,695.5478404302916,8.144399272634608,0.07084055451179146,False
125,80,131.0777558160461,3.02515473650662,12.410371861369821,1.0823863996904824e-07,6.580332161482073,720.7787044140595,5.212340903805325,0.31845154854707675,False
125,100,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,False
125,126,276.6636697611233,-0.3393414011536551,18.63673311690215,-4.330015690715109,7.332671808649388,1529.462749570486,1.783050028658752,-0.5094849296200042,False
130,40,130.44504232044756,0.6248271647610675,10.668803772201727,0.0057319134985136,6.546653428560718,696.9080144770944,7.6146392364312305,0.19873643292321969,False
