idx,date,eps,eps_norm,hype,score
125,2026-01-08,-0.03306409881015249,-1.0,0.6410906001868958,-1.128218120037379
126,2026-01-09,0.014016229424384186,0.4239108256015868,0.5090387042493074,0.5257185664514483
127,2026-01-12,0.009470909115131043,0.2864408665577468,0.5607598597168216,0.39859283850111116
128,2026-01-13,0.005818581988769722,0.1759788470926992,0.5020284307530317,0.2763845332433056
129,2026-01-14,-0.01592894239901632,-0.48175946032816913,0.6098183126673493,-0.603723122861639
130,2026-01-15,-0.03108793593671333,-0.9402323685037994,0.6258334355761516,-1.0653990556190298
131,2026-01-16,-0.09333710100726034,-1.0,0.6360919587256203,-1.127218391745124
132,2026-01-20,-0.10570982399494167,-1.0,0.5471176668943776,-1.1094235333788756
133,2026-01-21,-0.06285944985592362,-0.5946415146706849,0.48960630642557457,-0.6925627759557998
134,2026-01-22,-0.0551351132381761,-0.5215703815835923,0.5711863195751066,-0.6358076454986136
135,2026-01-23,-0.06321956191144018,-0.5980481238381904,0.6281279053756285,-0.7236737049133161
136,2026-01-26,-0.11802425969131924,-1.0,0.59623973590023,-1.119247947180046
137,2026-01-27,-0.07638331388353947,-0.6471831645740669,0.5100249986521727,-0.7491881643045014
138,2026-01-28,-0.07569361600257452,-0.6413394686867231,0.45326834736195004,-0.7319931381591132
139,2026-01-29,-0.07000533183867041,-0.5931435793095625,0.5381950166234327,-0.7007825826342491
140,2026-01-30,-0.11429507429430252,-0.9684032299226444,0.5691407353827408,-1.0822313769991925
141,2026-02-02,-0.10146590970414238,-0.8597038436802434,0.5833076201759955,-0.9763653677154426
142,2026-02-03,-0.05017057887264187,-0.4250870033318408,0.5418380236416089,-0.5334546080601625
143,2026-02-04,-0.10012566878898355,-0.8483482044357008,0.6023788111859428,-0.9688239666728894
144,2026-02-05,-0.12597418854768705,-1.0,0.5134024597849325,-1.1026804919569866
145,2026-02-06,0.002003645525800124,0.015905206843556303,0.44621773890205885,0.10514875462396807
