method,mean_s,std_s,n
LM,0.8716860078666665,0.44777440032037075,30
lppls-repo (NM),0.08084130273330174,0.08357098870634663,30
M-LNN,0.4564119492333248,0.033011848320411076,30
M-LNN-KAN,2.773646303933333,0.07579009058698921,30
P-LNN-100K,0.0006598644666534407,5.1491744326773704e-05,30
P-LNN-100K-AR1,0.0004866731333171022,5.473231746348654e-05,30
P-LNN-100K-BOTH,0.00040865153332561024,5.1846273307982296e-05,30
