date,start,end,n_alert_windows,peak_z,peak_time,peak_classes,share_multiclass,sigma_ratio,event,type
2013-04-23,13:08:00,14:10:00,63,17.496730224230255,13:10:00,2,1.0,3.321709817562298,AP TWITTER-HACK FLASH CRASH (13:07),dispersed
2020-04-23,12:44:00,13:22:00,39,16.17294122491844,12:45:00,2,1.0,1.900376493546628,,dispersed
2009-03-18,14:17:00,14:42:00,26,15.027992280831967,14:17:00,3,1.0,2.2688741647163395,,dispersed
2018-12-19,13:59:00,14:36:00,38,14.985034947407136,14:00:00,2,1.0,2.8099669319106297,,dispersed
2021-03-17,14:00:00,14:41:00,42,14.742978907911732,14:00:00,3,1.0,2.7945967776297076,,dispersed
2015-12-16,14:00:00,14:26:00,27,13.693114100723049,14:00:00,2,1.0,1.8668283586001186,,dispersed
2021-04-22,13:06:00,13:37:00,32,13.640805840749284,13:13:00,2,1.0,2.7885039877654068,,dispersed
2016-03-16,14:00:00,14:31:00,32,13.368073662637896,14:01:00,2,1.0,2.5503899054256416,,dispersed
2008-09-16,14:14:00,14:46:00,33,12.572440164747642,14:14:00,2,1.0,2.329248108448325,,dispersed
2008-01-30,14:14:00,14:37:00,24,12.551602941193654,14:17:00,2,1.0,1.2107592426700566,,mixed
2020-01-14,13:36:00,14:04:00,29,12.408893400249553,13:36:00,2,1.0,2.271299005460164,,dispersed
2012-06-14,15:05:00,15:30:00,26,12.237904667254877,15:09:00,2,1.0,2.232878921112135,,dispersed
2020-09-30,14:23:00,14:48:00,26,11.914910009054308,14:24:00,2,1.0,1.339369774605867,,mixed
2019-01-30,14:00:00,14:33:00,34,11.736680973021127,14:00:00,2,1.0,1.551147940288537,,dispersed
2014-12-17,14:00:00,14:25:00,26,11.476558848916273,14:00:00,2,1.0,1.4585617274931066,,mixed
2020-01-30,14:42:00,15:11:00,30,11.25321839175985,14:43:00,2,1.0,2.0397120688267787,,dispersed
2010-05-06,14:44:00,15:04:00,21,10.671871482181272,14:47:00,2,1.0,8.959225384070722,FLASH CRASH,dispersed
2008-03-18,14:14:00,14:33:00,20,10.554202637859358,14:14:00,3,1.0,1.3711718538194426,,mixed
2019-09-18,14:01:00,14:21:00,21,10.308133852451192,14:01:00,2,1.0,3.225732855480809,,dispersed
2013-07-10,14:01:00,14:16:00,16,9.916083543574985,14:03:00,2,1.0,1.3683550438328138,,mixed
2016-08-05,13:07:00,14:31:00,83,9.86248312576372,13:58:00,3,0.2891566265060241,0.32273128506392784,,compressed
2015-07-29,14:00:00,14:20:00,21,9.837115707422845,14:04:00,2,1.0,1.956364681633019,,dispersed
2012-10-24,14:16:00,14:48:00,33,9.769342696167856,14:16:00,2,1.0,1.3018662317764502,,mixed
2018-03-21,14:00:00,14:23:00,24,9.749934322608844,14:03:00,2,1.0,1.482490989269008,,mixed
2019-06-19,14:01:00,14:20:00,20,9.701258340957262,14:02:00,2,1.0,2.555330847943774,,dispersed
2020-12-24,14:36:00,16:00:00,85,9.59832669356528,15:04:00,2,0.9764705882352941,0.2982743892352224,,compressed
2015-03-18,14:00:00,14:28:00,29,9.587452913910546,14:00:00,2,1.0,2.9351323405432934,,dispersed
2018-02-21,14:00:00,14:22:00,23,9.52932028779013,14:00:00,2,1.0,1.066342542304372,,mixed
2014-03-19,14:00:00,14:15:00,16,9.465876607471358,14:02:00,2,1.0,1.3284686849430096,,mixed
2019-08-21,14:00:00,14:16:00,17,9.462645635224682,14:01:00,2,1.0,1.0071961546462307,,mixed
2008-09-29,13:37:00,14:01:00,21,9.372783567930059,13:46:00,2,1.0,3.4713419422419207,TARP vote fails in House (-8.8% day),dispersed
2011-08-09,14:20:00,14:44:00,22,9.296059275968064,14:21:00,2,1.0,1.637672114488084,FOMC reversal rally,dispersed
2016-01-27,14:02:00,14:33:00,31,9.250272572289656,14:03:00,2,1.0,2.0620050599535342,,dispersed
2013-09-18,14:00:00,14:40:00,41,9.168920753148035,14:00:00,2,1.0,8.269556840007429,,dispersed
2019-09-20,13:13:00,13:58:00,46,9.062229762845904,13:19:00,2,1.0,4.40807074229089,,dispersed
2019-06-06,14:33:00,14:55:00,23,9.038894569650104,14:33:00,3,1.0,1.0331649555026314,,mixed
2014-10-23,14:55:00,15:13:00,19,9.016976154892374,14:55:00,2,1.0,1.093441109990767,,mixed
2020-07-29,14:01:00,14:40:00,40,9.009483247164832,14:01:00,2,1.0,0.9926452980969849,,mixed
2009-11-04,14:18:00,15:00:00,42,8.917639505738853,14:19:00,2,1.0,1.3033224565871262,,mixed
2018-02-05,15:09:00,15:22:00,12,8.77194506206121,15:12:00,3,1.0,5.48434380725617,"VOLMAGEDDON (XIV collapse, 15:00)",dispersed
2013-12-18,14:00:00,14:33:00,34,8.763929722308253,14:02:00,2,1.0,4.518751963580414,,dispersed
2008-08-05,14:16:00,14:28:00,13,8.65258895016291,14:16:00,2,1.0,1.2543733643972252,,mixed
2009-06-24,14:21:00,14:43:00,23,8.642516167901121,14:25:00,2,1.0,1.76640454746317,,dispersed
2017-03-15,14:00:00,14:37:00,37,8.642258423462675,14:00:00,2,1.0,2.053668000342828,,dispersed
2019-08-01,13:26:00,13:48:00,23,8.376565031633959,13:31:00,2,1.0,3.981591462414578,,dispersed
2011-11-07,13:55:00,14:15:00,21,8.249153599759348,13:55:00,2,1.0,0.8779145995428083,,mixed
2010-08-10,14:14:00,14:29:00,16,8.239130326757989,14:17:00,2,1.0,2.171980331499421,,dispersed
2018-11-28,12:00:00,12:12:00,13,8.179724741586217,12:00:00,2,1.0,1.5005971502930868,,dispersed
2012-07-27,13:25:00,13:56:00,32,8.162734951512352,13:26:00,2,1.0,1.2549027621052464,,mixed
2008-06-25,14:10:00,14:40:00,31,8.115260907191974,14:14:00,2,1.0,0.9503432044826494,,mixed
2011-09-01,10:30:00,10:59:00,30,8.079033926724975,10:30:00,2,1.0,2.700036306593357,,dispersed
